ano;mes;mes_nome;mes_ordem;produto;volume_barris;dispendio_usd_fob;unidade_volume;unidade_dispendio
2026;JUN;Junho;6;GASOLINA A;2285721,9263497973;228479892,0;b;US$ FOB
2026;JUL;Julho;7;GASOLINA A;4425377,822002325;447844024,0;b;US$ FOB
2026;AGO;Agosto;8;GASOLINA A;0,0;0,0;b;US$ FOB
2026;SET;Setembro;9;GASOLINA A;0,0;0,0;b;US$ FOB
2026;OUT;Outubro;10;GASOLINA A;0,0;0,0;b;US$ FOB
2026;NOV;Novembro;11;GASOLINA A;0,0;0,0;b;US$ FOB
2026;DEZ;Dezembro;12;GASOLINA A;0,0;0,0;b;US$ FOB
2010;JAN;Janeiro;1;GLP;727441,68574;45445759,0;b;US$ FOB
2010;FEV;Fevereiro;2;GLP;1023106,8413829167;61588982,0;b;US$ FOB
2010;MAR;Março;3;GLP;1786226,2665220832;108559848,0;b;US$ FOB
2010;ABR;Abril;4;GLP;1804856,3988775;102623860,0;b;US$ FOB
2010;MAI;Maio;5;GLP;1531654,3538991665;89402592,0;b;US$ FOB
2010;JUN;Junho;6;GLP;1670355,0448645833;91761644,0;b;US$ FOB
2010;JUL;Julho;7;GLP;2387682,2147629163;121532985,0;b;US$ FOB
2010;AGO;Agosto;8;GLP;2056869,3159754165;104049699,0;b;US$ FOB
2010;SET;Setembro;9;GLP;1702721,1081420833;90787498,0;b;US$ FOB
2010;OUT;Outubro;10;GLP;2084529,2568120833;123502104,0;b;US$ FOB
2010;NOV;Novembro;11;GLP;1445922,8876437503;90226100,0;b;US$ FOB
2010;DEZ;Dezembro;12;GLP;1419037,74429;98657571,0;b;US$ FOB
2011;JAN;Janeiro;1;GLP;1219966,5453779167;89669096,0;b;US$ FOB
2011;FEV;Fevereiro;2;GLP;1499427,8059;100507793,0;b;US$ FOB
2011;MAR;Março;3;GLP;2192124,5812;153431123,0;b;US$ FOB
2011;ABR;Abril;4;GLP;1797023,8762400001;132590411,0;b;US$ FOB
2011;MAI;Maio;5;GLP;1576672,96251;121334361,0;b;US$ FOB
2011;JUN;Junho;6;GLP;2050729,6524;160786035,0;b;US$ FOB
2011;JUL;Julho;7;GLP;1816289,56427;139452734,0;b;US$ FOB
2011;AGO;Agosto;8;GLP;2228196,493420417;168549588,0;b;US$ FOB
2011;SET;Setembro;9;GLP;2090990,72621;156563370,0;b;US$ FOB
2011;OUT;Outubro;10;GLP;2031451,38475;149446672,0;b;US$ FOB
2011;NOV;Novembro;11;GLP;1185471,9397500001;84565519,0;b;US$ FOB
2011;DEZ;Dezembro;12;GLP;1632288,4060015;111085079,0;b;US$ FOB
2012;JAN;Janeiro;1;GLP;1886496,42349;128686691,0;b;US$ FOB
2012;FEV;Fevereiro;2;GLP;961051,51895;68600417,0;b;US$ FOB
2012;MAR;Março;3;GLP;1278708,0039291666;101076601,0;b;US$ FOB
2012;ABR;Abril;4;GLP;1390817,9078120834;102614151,0;b;US$ FOB
2012;MAI;Maio;5;GLP;1744422,7535445828;121441985,0;b;US$ FOB
2012;JUN;Junho;6;GLP;1255341,7130112501;79950060,0;b;US$ FOB
2012;JUL;Julho;7;GLP;1251202,0950700003;68863851,0;b;US$ FOB
2012;AGO;Agosto;8;GLP;849700,847549167;47903206,0;b;US$ FOB
2012;SET;Setembro;9;GLP;585348,3601383333;36561710,0;b;US$ FOB
2012;OUT;Outubro;10;GLP;2552909,7008308326;182972835,0;b;US$ FOB
2012;NOV;Novembro;11;GLP;1169055,9116712501;62257192,0;b;US$ FOB
2012;DEZ;Dezembro;12;GLP;926868,55517625;74147023,0;b;US$ FOB
2013;JAN;Janeiro;1;GLP;3001282,7378120837;209695282,0;b;US$ FOB
2013;FEV;Fevereiro;2;GLP;811135,0826366666;43371204,0;b;US$ FOB
2013;MAR;Março;3;GLP;1427347,16442375;89315480,0;b;US$ FOB
2013;ABR;Abril;4;GLP;1097531,0523916667;60536708,0;b;US$ FOB
2013;MAI;Maio;5;GLP;1770441,6692787495;105248711,0;b;US$ FOB
2013;JUN;Junho;6;GLP;949470,7823087501;52805206,0;b;US$ FOB
