ano;mes;mes_nome;mes_ordem;produto;unidade;volume_barris
2020;SET;Setembro;9;ASFALTO;b;12668,0946152
2020;OUT;Outubro;10;ASFALTO;b;18392,0119436
2020;NOV;Novembro;11;ASFALTO;b;18618,0646468
2020;DEZ;Dezembro;12;ASFALTO;b;16996,1588992
2021;JAN;Janeiro;1;ASFALTO;b;10865,0668852
2021;FEV;Fevereiro;2;ASFALTO;b;27348,860930000006
2021;MAR;Março;3;ASFALTO;b;26229,4158872
2021;ABR;Abril;4;ASFALTO;b;36962,421308
2021;MAI;Maio;5;ASFALTO;b;43180,502928400005
2021;JUN;Junho;6;ASFALTO;b;44370,9829376
2021;JUL;Julho;7;ASFALTO;b;22700,3292924
2021;AGO;Agosto;8;ASFALTO;b;56840,577285600004
2021;SET;Setembro;9;ASFALTO;b;55013,8262332
2021;OUT;Outubro;10;ASFALTO;b;33980,6034108
2021;NOV;Novembro;11;ASFALTO;b;36804,5931
2021;DEZ;Dezembro;12;ASFALTO;b;9336,238052800001
2022;JAN;Janeiro;1;ASFALTO;b;19113,1248532
2022;FEV;Fevereiro;2;ASFALTO;b;33775,5249228
2022;MAR;Março;3;ASFALTO;b;39753,1701184
2022;ABR;Abril;4;ASFALTO;b;40379,9911056
2022;MAI;Maio;5;ASFALTO;b;33827,346820800005
2022;JUN;Junho;6;ASFALTO;b;8827,5918568
2022;JUL;Julho;7;ASFALTO;b;21801,297601199996
2022;AGO;Agosto;8;ASFALTO;b;19193,953514
2022;SET;Setembro;9;ASFALTO;b;34412,127331600015
2022;OUT;Outubro;10;ASFALTO;b;9104,7791812
2022;NOV;Novembro;11;ASFALTO;b;56926,6096136
2022;DEZ;Dezembro;12;ASFALTO;b;17474,7428716
2023;JAN;Janeiro;1;ASFALTO;b;84670,783568
2023;FEV;Fevereiro;2;ASFALTO;b;31784,3674416
2023;MAR;Março;3;ASFALTO;b;124318,75738120002
2023;ABR;Abril;4;ASFALTO;b;15178,765856799999
2023;MAI;Maio;5;ASFALTO;b;93566,28082720001
2023;JUN;Junho;6;ASFALTO;b;35896,51021880001
2023;JUL;Julho;7;ASFALTO;b;47716,12480600001
2023;AGO;Agosto;8;ASFALTO;b;106247,2496096
2023;SET;Setembro;9;ASFALTO;b;54131,497822799996
2023;OUT;Outubro;10;ASFALTO;b;68077,1418268
2023;NOV;Novembro;11;ASFALTO;b;60230,8032848
2023;DEZ;Dezembro;12;ASFALTO;b;206159,94872680004
2024;JAN;Janeiro;1;ASFALTO;b;132714,2055408
2024;FEV;Fevereiro;2;ASFALTO;b;101043,78491080001
2024;MAR;Março;3;ASFALTO;b;117155,74379760001
2024;ABR;Abril;4;ASFALTO;b;14399,068736400002
2024;MAI;Maio;5;ASFALTO;b;119979,88076039999
2024;JUN;Junho;6;ASFALTO;b;65904,6721348
2024;JUL;Julho;7;ASFALTO;b;292751,47458599997
2024;AGO;Agosto;8;ASFALTO;b;307051,434326
2024;SET;Setembro;9;ASFALTO;b;203366,7821748
2024;OUT;Outubro;10;ASFALTO;b;242122,81183880003
2024;NOV;Novembro;11;ASFALTO;b;256113,97565800004
2024;DEZ;Dezembro;12;ASFALTO;b;83249,7099196
2025;JAN;Janeiro;1;ASFALTO;b;148575,16112200002
2025;FEV;Fevereiro;2;ASFALTO;b;118496,4858336
2025;MAR;Março;3;ASFALTO;b;54942,9692224
2025;ABR;Abril;4;ASFALTO;b;109166,86895640002
2025;MAI;Maio;5;ASFALTO;b;268826,3382628
2025;JUN;Junho;6;ASFALTO;b;149794,1324364
2025;JUL;Julho;7;ASFALTO;b;201517,044168
2025;AGO;Agosto;8;ASFALTO;b;120331,336934
2025;SET;Setembro;9;ASFALTO;b;293089,3693156
2025;OUT;Outubro;10;ASFALTO;b;211690,08467960006
2025;NOV;Novembro;11;ASFALTO;b;98157,64576240002
2025;DEZ;Dezembro;12;ASFALTO;b;149014,159178
2026;JAN;Janeiro;1;ASFALTO;b;212346,28675000003
2026;FEV;Fevereiro;2;ASFALTO;b;176495,3761196
2026;MAR;Março;3;ASFALTO;b;136394,43780400002
2026;ABR;Abril;4;ASFALTO;b;150614,70411719996
2026;MAI;Maio;5;ASFALTO;b;261891,2612572001
2026;JUN;Junho;6;ASFALTO;b;221488,61456280004
2026;JUL;Julho;7;ASFALTO;b;253299,82261799998
2000;JAN;Janeiro;1;COQUE;b;1722607,483054875
2000;FEV;Fevereiro;2;COQUE;b;695955,1750831346
2000;MAR;Março;3;COQUE;b;1029099,0198701635
2000;ABR;Abril;4;COQUE;b;861889,7673586634
2000;MAI;Maio;5;COQUE;b;1162209,4282428655
2000;JUN;Junho;6;COQUE;b;1112659,1275764809
2000;JUL;Julho;7;COQUE;b;1029018,4679669037
2000;AGO;Agosto;8;COQUE;b;1346054,0549128847
2000;SET;Setembro;9;COQUE;b;911037,592759779
2000;OUT;Outubro;10;COQUE;b;1572362,7069143557
2000;NOV;Novembro;11;COQUE;b;1081570,2538695
2000;DEZ;Dezembro;12;COQUE;b;1456652,5196440674
2001;JAN;Janeiro;1;COQUE;b;2100956,4705150384
2001;FEV;Fevereiro;2;COQUE;b;1609067,6854435
2001;MAR;Março;3;COQUE;b;1740084,004390904
2001;ABR;Abril;4;COQUE;b;1870497,009601423
2001;MAI;Maio;5;COQUE;b;2071190,8276825962
2001;JUN;Junho;6;COQUE;b;386441,523533
2001;JUL;Julho;7;COQUE;b;1636794,8431902023
2001;AGO;Agosto;8;COQUE;b;1337743,2624330483
2001;SET;Setembro;9;COQUE;b;1157450,4491347692
2001;OUT;Outubro;10;COQUE;b;1008513,9534742499
2001;NOV;Novembro;11;COQUE;b;1343594,0497429422
2001;DEZ;Dezembro;12;COQUE;b;1515767,4682701058
2002;JAN;Janeiro;1;COQUE;b;1636120,950527644
2002;FEV;Fevereiro;2;COQUE;b;1610751,8667415192
2002;MAR;Março;3;COQUE;b;591190,7389469326
2002;ABR;Abril;4;COQUE;b;1217258,3957212404
2002;MAI;Maio;5;COQUE;b;1153489,622724096
