ano;produto;volume_barris
2009;PARAFINA;219882,69383283457
2009;QUEROSENE DE AVIAÇÃO;7985705,272119575
2009;QUEROSENE ILUMINANTE;0,0
2009;SOLVENTE;3884061,107300957
2009;ÓLEO COMBUSTÍVEL;64368,18915231685
2009;ÓLEO DIESEL;22108947,805898394
2010;ASFALTO;1571512,4464748001
2010;COQUE;24383636,138373252
2010;GASOLINA A;3177140,8441978036
2010;GASOLINA DE AVIAÇÃO;38934,3137642562
2010;GLP;19640403,1189125
2010;LUBRIFICANTE;4949794,675410309
2010;NAFTA;42229910,0734811
2010;OUTROS NÃO ENERGÉTICOS;293669,6928468634
2010;PARAFINA;293490,21277050005
2010;QUEROSENE DE AVIAÇÃO;12094030,813585307
2010;QUEROSENE ILUMINANTE;0,0
2010;SOLVENTE;5850271,8644954795
2010;ÓLEO COMBUSTÍVEL;1010851,769520553
2010;ÓLEO DIESEL;56652295,05368287
2011;ASFALTO;572590,1349248
2011;COQUE;27980177,37958481
2011;GASOLINA A;13754428,22232372
2011;GASOLINA DE AVIAÇÃO;38516,25799050964
2011;GLP;21320633,938029833
2011;LUBRIFICANTE;4598284,582140137
2011;NAFTA;44843833,98637697
2011;OUTROS NÃO ENERGÉTICOS;293678,43830351764
2011;PARAFINA;347745,3329736
2011;QUEROSENE DE AVIAÇÃO;11338352,060244592
2011;QUEROSENE ILUMINANTE;0,0
2011;SOLVENTE;2423479,8545094226
2011;ÓLEO COMBUSTÍVEL;4461788,082027905
2011;ÓLEO DIESEL;58701468,52292945
2012;ASFALTO;652128,9551268
2012;COQUE;23355211,785296105
2012;GASOLINA A;23776729,657615203
2012;GASOLINA DE AVIAÇÃO;38983,76587924242
2012;GLP;15851923,791172916
2012;LUBRIFICANTE;5038085,083421314
2012;NAFTA;38357420,31696321
2012;OUTROS NÃO ENERGÉTICOS;62645,430178842595
2012;PARAFINA;221836,51315850002
2012;QUEROSENE DE AVIAÇÃO;10461480,485804344
2012;QUEROSENE ILUMINANTE;0,0
2012;SOLVENTE;1659495,8381504116
2012;ÓLEO COMBUSTÍVEL;1335057,4988701874
2012;ÓLEO DIESEL;50131071,78158485
2013;ASFALTO;533242,2126624
2013;COQUE;23754863,464137923
2013;GASOLINA A;18102336,428045217
2013;GASOLINA DE AVIAÇÃO;0,0
2013;GLP;20910032,68227875
2013;LUBRIFICANTE;5425234,168577594
2013;NAFTA;44080934,21749177
2013;OUTROS NÃO ENERGÉTICOS;52934,151630436856
2013;PARAFINA;200672,85194950004
2013;QUEROSENE DE AVIAÇÃO;12338397,512920137
2013;QUEROSENE ILUMINANTE;0,0
2013;SOLVENTE;1907645,5283751495
2013;ÓLEO COMBUSTÍVEL;605392,1510815202
2013;ÓLEO DIESEL;64678395,21112665
2014;ASFALTO;168277,61355840001
2014;COQUE;24170700,299795933
2014;GASOLINA A;13692872,714310648
2014;GASOLINA DE AVIAÇÃO;0,0
2014;GLP;24297041,56205625
2014;LUBRIFICANTE;4485788,446840624
2014;NAFTA;43065282,49758309
2014;OUTROS NÃO ENERGÉTICOS;35957,57707215278
2014;PARAFINA;160883,32979750002
2014;QUEROSENE DE AVIAÇÃO;9457291,529081302
2014;QUEROSENE ILUMINANTE;0,0
2014;SOLVENTE;3773730,240197705
2014;ÓLEO COMBUSTÍVEL;2508583,2329117376
2014;ÓLEO DIESEL;70918293,76746956
2015;ASFALTO;50676,4530304
2015;COQUE;18697065,69178723
2015;GASOLINA A;15533164,22744798
2015;GASOLINA DE AVIAÇÃO;0,0
2015;GLP;20071858,162235416
2015;LUBRIFICANTE;4087763,3971133837
2015;NAFTA;44053784,826056734
2015;OUTROS NÃO ENERGÉTICOS;35174,97619875
2015;PARAFINA;160307,0451325
2015;QUEROSENE DE AVIAÇÃO;8641897,9265397
2015;QUEROSENE ILUMINANTE;0,0
2015;SOLVENTE;4587236,474178326
2015;ÓLEO COMBUSTÍVEL;2231128,798228342
2015;ÓLEO DIESEL;43651908,269631855
2016;ASFALTO;5455,7259664
2016;COQUE;12942048,147813434
2016;GASOLINA A;18405130,500786576
2016;GASOLINA DE AVIAÇÃO;0,0
2016;GLP;26100002,004818335
2016;LUBRIFICANTE;4077318,107117163
2016;NAFTA;54514814,15373128
2016;OUTROS NÃO ENERGÉTICOS;35329,76085178241
2016;PARAFINA;152813,6262955
2016;QUEROSENE DE AVIAÇÃO;8015012,700678223
2016;QUEROSENE ILUMINANTE;0,0
2016;SOLVENTE;3702177,3191963425
2016;ÓLEO COMBUSTÍVEL;409401,81429063185
2016;ÓLEO DIESEL;49804751,706662536
2017;ASFALTO;9363,324122400001
2017;COQUE;14017960,155133769
2017;GASOLINA A;28231841,557225943
2017;GASOLINA DE AVIAÇÃO;1492,2399508055555
2017;GLP;20710795,099660832
2017;LUBRIFICANTE;3622417,7868966167
2017;NAFTA;65494887,69684678
2017;OUTROS NÃO ENERGÉTICOS;40494,00789630787
2017;PARAFINA;197545,6964865
2017;QUEROSENE DE AVIAÇÃO;3621639,015610188
2017;QUEROSENE ILUMINANTE;0,0
2017;SOLVENTE;6812721,63041579
2017;ÓLEO COMBUSTÍVEL;472472,7008974236
2017;ÓLEO DIESEL;81485935,47944903
2018;ASFALTO;7619,6415168
2018;COQUE;17492571,685282636
2018;GASOLINA A;18660976,64334248
2018;GASOLINA DE AVIAÇÃO;29456,953606986113
2018;GLP;27620204,74549458
2018;LUBRIFICANTE;4952103,550817836
2018;NAFTA;50167574,314009875
2018;OUTROS NÃO ENERGÉTICOS;80870,70064429397
2018;PARAFINA;200901,38682649998
2018;QUEROSENE DE AVIAÇÃO;5395537,071063792
2018;QUEROSENE ILUMINANTE;0,0
2018;SOLVENTE;6141813,300205236
2018;ÓLEO COMBUSTÍVEL;2007551,491377473
2018;ÓLEO DIESEL;73276014,2294805
2019;ASFALTO;39999,0986212
2019;COQUE;16552338,747972691
2019;GASOLINA A;30369791,10635166
2019;GASOLINA DE AVIAÇÃO;375102,3152159306
2019;GLP;22362416,53795875
2019;LUBRIFICANTE;4806049,628103651
2019;NAFTA;47996392,10319704
2019;OUTROS NÃO ENERGÉTICOS;75138,0193008912
2019;PARAFINA;118388,475989
2019;QUEROSENE DE AVIAÇÃO;6527278,879616233
2019;QUEROSENE ILUMINANTE;0,0
2019;SOLVENTE;3645256,703205857
2019;ÓLEO COMBUSTÍVEL;353475,7420437809
2019;ÓLEO DIESEL;81816373,36452447
2020;ASFALTO;202743,74734640002
2020;COQUE;15950845,022042625
2020;GASOLINA A;24807098,45934719
2020;GASOLINA DE AVIAÇÃO;219805,33386343057
2020;GLP;22752143,979018334
2020;LUBRIFICANTE;5358871,582719731
2020;NAFTA;24107072,676010285
2020;OUTROS NÃO ENERGÉTICOS;73019,32155395833
2020;PARAFINA;512126,6546930001
2020;QUEROSENE DE AVIAÇÃO;2054790,7493215348
2020;QUEROSENE ILUMINANTE;0,0
2020;SOLVENTE;5782381,360787246
2020;ÓLEO COMBUSTÍVEL;512318,6675517938
2020;ÓLEO DIESEL;75443496,24524571
2021;ASFALTO;403633,4182512
2021;COQUE;22473551,258164443
2021;GASOLINA A;15221111,973394176
2021;GASOLINA DE AVIAÇÃO;0,0
2021;GLP;25267025,21511917
2021;LUBRIFICANTE;6979468,336304845
2021;NAFTA;50264737,7877227
2021;OUTROS NÃO ENERGÉTICOS;83859,6707713773
2021;PARAFINA;709294,540702
2021;QUEROSENE DE AVIAÇÃO;2351412,144374566
2021;QUEROSENE ILUMINANTE;0,0
2021;SOLVENTE;8179143,263612361
2021;ÓLEO COMBUSTÍVEL;3911165,3051024536
2021;ÓLEO DIESEL;90803808,31459764
2022;ASFALTO;334590,25979080005
2022;COQUE;22805871,337421983
2022;GASOLINA A;27162120,458308827
2022;GASOLINA DE AVIAÇÃO;0,052415083333333334
2022;GLP;22068835,611131668
2022;LUBRIFICANTE;5341011,016302534
2022;NAFTA;42592884,68412806
2022;OUTROS NÃO ENERGÉTICOS;83426,32906991898
2022;PARAFINA;346730,501278
2022;QUEROSENE DE AVIAÇÃO;8141123,425805572
2022;QUEROSENE ILUMINANTE;0,0
2022;SOLVENTE;8172165,385746762
2022;ÓLEO COMBUSTÍVEL;1327161,789311258
2022;ÓLEO DIESEL;100208329,74811299
2023;ASFALTO;927978,2313704
2023;COQUE;22578364,470567618
2023;GASOLINA A;24854765,60593758
2023;GASOLINA DE AVIAÇÃO;0,0
2023;GLP;18190717,22709583
2023;LUBRIFICANTE;5846472,296012313
2023;NAFTA;33054867,381198786
2023;OUTROS NÃO ENERGÉTICOS;111613,25355994212
2023;PARAFINA;681706,8280725001
2023;QUEROSENE DE AVIAÇÃO;6240277,991513032
2023;QUEROSENE ILUMINANTE;0,0
2023;SOLVENTE;11590451,018629394
2023;ÓLEO COMBUSTÍVEL;470407,60150160827
2023;ÓLEO DIESEL;91176509,83055219
2024;ASFALTO;1935853,5443840001
2024;COQUE;27206344,60507702
2024;GASOLINA A;17232620,52956896
2024;GASOLINA DE AVIAÇÃO;0,0
2024;GLP;21234624,662717085
2024;LUBRIFICANTE;6161771,036597312
2024;NAFTA;32071691,53644277
2024;OUTROS NÃO ENERGÉTICOS;180065,9036986111
2024;PARAFINA;451402,3360405001
2024;QUEROSENE DE AVIAÇÃO;7048550,389501723
2024;QUEROSENE ILUMINANTE;0,0
2024;SOLVENTE;12171041,10650208
2024;ÓLEO COMBUSTÍVEL;385303,4958894536
2024;ÓLEO DIESEL;90065041,4964864
2025;ASFALTO;1923601,5958712003
2025;COQUE;27720360,494184386
2025;GASOLINA A;21993748,409371287
2025;GASOLINA DE AVIAÇÃO;0,008735847222222223
2025;GLP;18177848,731619168
2025;LUBRIFICANTE;5853646,372847253
2025;NAFTA;27771210,387098715
2025;OUTROS NÃO ENERGÉTICOS;136825,60023118058
2025;PARAFINA;421119,3017570001
2025;QUEROSENE DE AVIAÇÃO;10115706,146156704
2025;QUEROSENE ILUMINANTE;0,0
2025;SOLVENTE;8152627,614626694
2025;ÓLEO COMBUSTÍVEL;1397771,267699
