codigo_tse,uf,nome_municipio,codigo_ibge,POP_2022
37370,BA,MORTUGABA,2921807,11131
37397,BA,MUCUGÊ,2921906,12988
37419,BA,MUCURI,2922003,38082
37427,BA,MULUNGU DO MORRO,2922052,13166
37435,BA,MUNDO NOVO,2922102,20564
37451,BA,MUNIZ FERREIRA,2922201,7165
37460,BA,MUQUÉM DO SÃO FRANCISCO,2922250,11029
37478,BA,MURITIBA,2922300,28558
37494,BA,MUTUÍPE,2922409,20028
37516,BA,NAZARÉ,2922508,28181
37532,BA,NILO PEÇANHA,2922607,12032
39799,BA,NORDESTINA,2922656,18536
37559,BA,NOVA CANAÃ,2922706,15959
37567,BA,NOVA FÁTIMA,2922730,7958
39969,BA,NOVA IBIÁ,2922755,8325
37575,BA,NOVA ITARANA,2922805,7820
37583,BA,NOVA REDENÇÃO,2922854,7525
37591,BA,NOVA SOURE,2922904,24206
37613,BA,NOVA VIÇOSA,2923001,41089
39942,BA,NOVO HORIZONTE,2923035,11163
37621,BA,NOVO TRIUNFO,2923050,10666
37630,BA,OLINDINA,2923100,22615
37656,BA,OLIVEIRA DOS BREJINHOS,2923209,22850
37672,BA,OURIÇANGAS,2923308,7728
37680,BA,OUROLÂNDIA,2923357,19322
37699,BA,PALMAS DE MONTE ALTO,2923407,20091
37710,BA,PALMEIRAS,2923506,10383
37737,BA,PARAMIRIM,2923605,20378
37753,BA,PARATINGA,2923704,28947
37770,BA,PARIPIRANGA,2923803,26609
37796,BA,PAU BRASIL,2923902,10669
37818,BA,PAULO AFONSO,2924009,118412
37850,BA,PEDRO ALEXANDRE,2924207,14056
37834,BA,PEDRÃO,2924108,6229
37877,BA,PIATÃ,2924306,20098
37893,BA,PILÃO ARCADO,2924405,35326
37915,BA,PINDAÍ,2924504,14740
37931,BA,PINDOBAÇU,2924603,19133
39837,BA,PINTADAS,2924652,9805
37940,BA,PIRAÍ DO NORTE,2924678,10200
37958,BA,PIRIPÁ,2924702,9158
37974,BA,PIRITIBA,2924801,17549
37990,BA,PLANALTINO,2924900,8012
38016,BA,PLANALTO,2925006,23290
38059,BA,POJUCA,2925204,33079
38067,BA,PONTO NOVO,2925253,17941
38075,BA,PORTO SEGURO,2925303,158736
38091,BA,POTIRAGUÁ,2925402,11524
