Cargo/Área,Nome,Assunção,Saída,Situação
Diretor de Normas e Organização do Sistema Financeiro - Dinor,Alkimar Ribeiro Moura,22/03/1996,03/09/1997,Exonerado
"Diretor de Reestruturação do Sistema Financeiro Estadual e das Dívidas dos Estados, do Distrito Federal e dos Municípios - Direm",Paolo Enrico Maria Zaghen,02/12/1996,29/07/1999,Exonerado
Presidente do Banco Central do Brasil,Gustavo Henrique de Barroso Franco,20/08/1997,04/03/1999,Exonerado
Diretor de Normas e Organização do Sistema Financeiro - Dinor,Sérgio Darcy da Silva Alves,03/09/1997,12/04/2006,Dispensado do encargo
Diretor de Assuntos Internacionais - Direx,Demosthenes Madureira de Pinho Neto,03/09/1997,04/03/1999,Exonerado
Presidente do Banco Central do Brasil,Armínio Fraga Neto,04/03/1999,01/01/2003,Exonerado
Diretor de Política Econômica - Dipec,Sérgio Ribeiro da Costa Werlang,04/03/1999,14/09/2000,Dispensado do encargo
Diretor de Assuntos Internacionais - Direx,Daniel Luiz Gleizer,04/03/1999,11/01/2002,Dispensado do encargo
Diretor de Política Monetária - Dipom,Luiz Fernando Figueiredo,04/03/1999,17/03/2003,Dispensado do encargo
Diretor de Administração - Dirad,Edison Bernardes dos Santos,04/03/1999,14/03/2003,Exonerado
Diretor de Fiscalização - Difis,Luiz Carlos Alvarez,04/03/1999,02/12/1999,Exonerado
"Diretor de Reestruturação do Sistema Financeiro Estadual e das Dívidas dos Estados, do Distrito Federal e dos Municípios - Direm",Luiz Carlos Alvarez,29/07/1999,12/08/1999,Dispensado do encargo
"Diretor de Reestruturação do Sistema Financeiro Estadual e das Dívidas dos Estados, do Distrito Federal e dos Municípios - Direm",Carlos Eduardo de Freitas,12/08/1999,01/12/1999,Dispensado do encargo
Diretor de Fiscalização - Difis,Carlos Eduardo de Freitas,29/11/1999,30/03/2000,Dispensado do encargo
Diretor de Finanças Públicas e Regimes Especiais - Difip,Carlos Eduardo de Freitas,01/12/1999,24/04/2002,Dispensado do encargo
Diretor de Fiscalização - Difis,Tereza Cristina Grossi Togni,30/03/2000,14/03/2003,Exonerado
Diretor de Política Econômica - Dipec,Ilan Goldfajn,14/09/2000,02/07/2003,Exonerado
Diretor para Estudos Especiais,Sérgio Ribeiro da Costa Werlang,14/09/2000,25/09/2000,Exonerado
Diretor para Estudos Especiais,Daniel Luiz Gleizer,11/01/2002,14/02/2002,Exonerado
Diretor de Assuntos Internacionais - Direx,Beny Parnes,11/01/2002,03/11/2003,Exonerado
Diretor de Liquidações e Desestatização - Dilid,Carlos Eduardo de Freitas,24/04/2002,08/05/2003,Exonerado
Presidente do Banco Central do Brasil,Henrique de Campos Meirelles,01/01/2003,01/01/2011,Exonerado
Diretor de Política Monetária - Dipom,Luiz Augusto de Oliveira Candiota,17/03/2003,29/07/2004,Exonerado
Diretor de Fiscalização - Difis,Paulo Sérgio Cavalheiro,17/03/2003,18/12/2007,Exonerado
Diretor de Administração - Dirad,João Antônio Fleury Teixeira,17/03/2003,31/10/2006,Exonerado
Diretor para Estudos Especiais,Luiz Fernando Figueiredo,17/03/2003,21/03/2003,Exonerado
Diretor de Liquidações e Desestatização - Dilid,Antonio Gustavo Matos do Vale,08/05/2003,25/03/2009,Dispensado do encargo
Diretor para Estudos Especiais,Afonso Sant'Anna Bevilaqua,26/06/2003,02/07/2003,Dispensado do encargo
Diretor de Política Econômica - Dipec,Afonso Sant'Anna Bevilaqua,02/07/2003,29/07/2004,Dispensado do encargo
Diretor de Estudos Especiais - Diesp,Eduardo Henrique de Mello Motta Loyo,21/08/2003,02/06/2005,Exonerado
Diretor de Assuntos Internacionais - Direx,Alexandre Schwartsman,03/11/2003,28/04/2006,Exonerado
Diretor de Política Monetária - Dipom,Afonso Sant'Anna Bevilaqua,29/07/2004,20/10/2004,Dispensado do encargo
Diretor de Política Econômica - Dipec,Eduardo Henrique de Mello Motta Loyo,29/07/2004,20/10/2004,Dispensado do encargo
Diretor de Política Econômica - Dipec,Afonso Sant'Anna Bevilaqua,20/10/2004,07/03/2007,Exonerado
Diretor de Política Monetária - Dipom,Rodrigo Telles da Rocha Azevedo,20/10/2004,27/04/2007,Exonerado
Diretor de Estudos Especiais - Diesp,Alexandre Antonio Tombini,03/06/2005,12/04/2006,Dispensado do encargo
Diretor de Normas e Organização do Sistema Financeiro - Dinor,Alexandre Antonio Tombini,12/04/2006,01/01/2011,Dispensado do encargo
Diretor de Estudos Especiais - Diesp,Sérgio Darcy da Silva Alves,12/04/2006,20/04/2006,Exonerado
Diretor de Estudos Especiais - Diesp,Afonso Sant'Anna Bevilaqua,20/04/2006,01/06/2006,Dispensado do encargo
Diretor de Assuntos Internacionais - Direx,Alexandre Antonio Tombini,28/04/2006,14/06/2006,Dispensado do encargo
Diretor de Estudos Especiais - Diesp,Mário Magalhães Carvalho Mesquita,01/06/2006,25/04/2007,Dispensado do encargo
Diretor de Assuntos Internacionais - Direx,Paulo Vieira da Cunha,14/06/2006,14/01/2008,Exonerado
Diretor de Administração - Dirad,Antonio Gustavo Matos do Vale,03/11/2006,07/12/2007,Dispensado do encargo
Diretor de Política Econômica - Dipec,Mário Magalhães Carvalho Mesquita,07/03/2007,31/03/2010,Dispensado do encargo
Diretor de Estudos Especiais - Diesp,Mario Gomes Torós,25/04/2007,23/05/2007,Dispensado do encargo
Diretor de Política Monetária - Dipom,Mario Gomes Torós,26/04/2007,07/12/2009,Exonerado
Diretor de Administração - Dirad,Anthero de Moraes Meirelles,26/04/2007,03/03/2011,Dispensado do encargo
Diretor de Fiscalização - Difis,Alvir Alberto Hoffmann,19/12/2007,02/03/2011,Exonerado
Diretor de Assuntos Internacionais - Direx,Alexandre Antonio Tombini,14/01/2008,20/01/2008,Dispensado do encargo
Diretor de Assuntos Internacionais - Direx,Maria Celina Berardinelli Arraes,21/01/2008,19/01/2010,Exonerado
Diretor de Liquidações e Controle de Operações do Crédito Rural - Dilid,Antonio Gustavo Matos do Vale,25/03/2009,02/03/2011,Exonerado
Diretor de Política Monetária - Dipom,Aldo Luiz Mendes,07/12/2009,07/07/2016,Exonerado
Diretor de Assuntos Internacionais - Direx,Aldo Luiz Mendes,18/01/2010,26/02/2010,Dispensado do encargo
Diretor de Assuntos Internacionais - Direx,Carlos Hamilton Vasconcelos Araújo,26/02/2010,27/04/2010,Dispensado do encargo
Diretor de Política Econômica - Dipec,Carlos Hamilton Vasconcelos Araújo,31/03/2010,05/02/2015,Exonerado
Diretor para Estudos Especiais,Mário Magalhães Carvalho Mesquita,31/03/2010,08/04/2010,Exonerado
Diretor de Assuntos Internacionais - Direx,Luiz Awazu Pereira da Silva,27/04/2010,04/05/2011,Dispensado do encargo
Presidente do Banco Central do Brasil,Alexandre Antonio Tombini,01/01/2011,09/06/2016,Exonerado
Diretor de Normas e Organização do Sistema Financeiro - Dinor,Luiz Awazu Pereira da Silva,04/01/2011,04/05/2011,Dispensado do encargo
Diretor de Fiscalização - Difis,Anthero de Moraes Meirelles,02/03/2011,19/09/2017,Exonerado
Diretor de Liquidações e Controle de Operações do Crédito Rural - Dilid,Sidnei Corrêa Marques,02/03/2011,04/05/2011,Dispensado do encargo
Diretor de Administração - Dirad,Altamir Lopes,03/03/2011,29/09/2015,Dispensado do encargo
Diretor de Organização do Sistema Financeiro e Controle de Operações do Crédito Rural - Diorf,Sidnei Corrêa Marques,04/05/2011,22/12/2016,Dispensado do encargo
Diretor de Assuntos Internacionais e de Gestão de Riscos Corporativos - Direx,Luiz Awazu Pereira da Silva,04/05/2011,27/04/2015,Dispensado do encargo
Diretor de Regulação do Sistema Financeiro - Dinor,Luiz Awazu Pereira da Silva,04/05/2011,25/06/2013,Dispensado do encargo
Diretor de Assuntos Especiais - Diasp,Luiz Edson Feltrim,28/06/2012,13/09/2012,Dispensado do encargo
Diretor de Relacionamento Institucional e Cidadania - Direc,Luiz Edson Feltrim,13/09/2012,07/07/2016,Dispensado do encargo
Diretor de Regulação - Dinor,Luiz Awazu Pereira da Silva,25/06/2013,05/02/2015,Dispensado do encargo
Diretor de Regulação - Dinor,Anthero de Moraes Meirelles,05/02/2015,27/04/2015,Dispensado do encargo
Diretor de Política Econômica - Dipec,Luiz Awazu Pereira da Silva,05/02/2015,29/09/2015,Exonerado
Diretor de Regulação - Dinor,Otávio Ribeiro Damaso,24/04/2015,31/12/2024,Exonerado
Diretor de Assuntos Internacionais e de Gestão de Riscos Corporativos - Direx,Tony Volpon,27/04/2015,07/07/2016,Exonerado
Diretor de Administração - Dirad,Luiz Edson Feltrim,29/09/2015,19/09/2017,Exonerado
Diretor de Política Econômica - Dipec,Altamir Lopes,29/09/2015,29/06/2016,Exonerado
Presidente do Banco Central do Brasil,Ilan Goldfajn,09/06/2016,28/02/2019,Exonerado
Diretor de Política Econômica - Dipec,Aldo Luiz Mendes,29/06/2016,07/07/2016,Exonerado
Diretor de Política Monetária - Dipom,Reinaldo Le Grazie,07/07/2016,21/12/2018,Exonerado
Diretor de Política Econômica - Dipec,Carlos Viana de Carvalho,07/07/2016,21/12/2018,Dispensado do encargo
Diretor de Relacionamento Institucional e Cidadania - Direc,Isaac Sidney Menezes Ferreira,07/07/2016,26/04/2018,Exonerado
Diretor de Assuntos Internacionais e de Gestão de Riscos Corporativos - Direx,Tiago Couto Berriel,07/07/2016,21/06/2019,Exonerado
Diretor de Organização do Sistema Financeiro e de Resolução - Diorf,Sidnei Corrêa Marques,22/12/2016,28/02/2019,Exonerado
Diretor de Fiscalização - Difis,Paulo Sérgio Neves de Souza,19/09/2017,12/07/2023,Exonerado
Diretor de Administração - Dirad,Mauricio Costa de Moura,19/09/2017,27/04/2018,Dispensado do encargo
Diretor de Administração - Dirad,Carolina de Assis Barros,26/04/2018,02/01/2024,Dispensado do encargo
Diretor de Relacionamento Institucional e Cidadania - Direc,Mauricio Costa de Moura,27/04/2018,06/06/2019,Dispensado do encargo
Diretor de Política Monetária - Dipom,Carlos Viana de Carvalho,21/12/2018,28/02/2019,Dispensado do encargo
Diretor de Política Econômica - Dipec,Tiago Couto Berriel,21/12/2018,28/02/2019,Dispensado do encargo
Diretor de Política Monetária - Dipom,Bruno Serra Fernandes,28/02/2019,23/03/2023,Exonerado
Diretor de Política Econômica - Dipec,Carlos Viana de Carvalho,28/02/2019,02/10/2019,Exonerado
Diretor de Organização do Sistema Financeiro e de Resolução - Diorf,João Manoel Pinho de Mello,28/02/2019,08/02/2022,Exonerado
Presidente do Banco Central do Brasil,Roberto de Oliveira Campos Neto,28/02/2019,31/12/2024,Exonerado
"Diretor de Relacionamento Institucional, Cidadania e Supervisão de Conduta - Direc",Mauricio Costa de Moura,06/06/2019,02/01/2024,Exonerado
Diretor de Assuntos Internacionais e de Gestão de Riscos Corporativos - Direx,João Manoel Pinho de Mello,21/06/2019,05/07/2019,Dispensado do encargo
Diretor de Assuntos Internacionais e de Gestão de Riscos Corporativos - Direx,Fernanda Feitosa Nechio,05/07/2019,07/05/2021,Exonerado
Diretor de Política Econômica - Dipec,Mauricio Costa de Moura,01/10/2019,01/10/2019,Dispensado do encargo
Diretor de Política Econômica - Dipec,Otávio Ribeiro Damaso,02/10/2019,02/10/2019,Dispensado do encargo
Diretor de Política Econômica - Dipec,Bruno Serra Fernandes,03/10/2019,09/12/2019,Dispensado do encargo
Diretor de Política Econômica - Dipec,Fábio Kanczuk,06/12/2019,30/12/2021,Exonerado
Diretor de Assuntos Internacionais e de Gestão de Riscos Corporativos - Direx,João Manoel Pinho de Mello,07/05/2021,26/07/2021,Dispensado do encargo
Diretor de Assuntos Internacionais e de Gestão de Riscos Corporativos - Direx,Fernanda Magalhães Rumenos Guardado,26/07/2021,02/01/2024,Exonerado
Diretor de Política Econômica - Dipec,Fernanda Magalhães Rumenos Guardado,31/12/2021,25/04/2022,Dispensado do encargo
Diretor de Organização do Sistema Financeiro e de Resolução - Diorf,Otávio Ribeiro Damaso,09/02/2022,24/04/2022,Dispensado do encargo
Diretor de Organização do Sistema Financeiro e de Resolução - Diorf,Renato Dias de Brito Gomes,25/04/2022,31/12/2025,Exonerado
Diretor de Política Econômica - Dipec,Diogo Abry Guillen,25/04/2022,31/12/2025,Exonerado
Diretor de Política Monetária - Dipom,Diogo Abry Guillen,23/03/2023,12/07/2023,Dispensado do encargo
Diretor de Política Monetária - Dipom,Gabriel Muricca Galípolo,12/07/2023,31/12/2024,Dispensado do encargo
Diretor de Fiscalização - Difis,Ailton de Aquino Santos,12/07/2023,em exercício,Em exercício
Diretor de Assuntos Internacionais e de Gestão de Riscos Corporativos - Direx,Paulo Picchetti,02/01/2024,em exercício,Em exercício
"Diretor de Relacionamento Institucional, Cidadania e Supervisão de Conduta - Direc",Carolina de Assis Barros,02/01/2024,31/12/2024,Exonerado
Diretor de Administração - Dirad,Rodrigo Alves Teixeira,02/01/2024,em exercício,Em exercício
Presidente do Banco Central do Brasil,Gabriel Muricca Galípolo,01/01/2025,em exercício,Em exercício
Diretor de Cidadania e Supervisão de Conduta - Direc,Izabela Moreira Correa,01/01/2025,em exercício,Em exercício
Diretor de Política Monetária - Dipom,Nilton José Schneider David,01/01/2025,em exercício,Em exercício
Diretor de Regulação - Dinor,Gilneu Francisco Astolfi Vivan,01/01/2025,em exercício,Em exercício
Diretor de Política Econômica - Dipec,Paulo Picchetti,01/01/2026,em exercício,Em exercício
Diretor de Organização do Sistema Financeiro e de Resolução - Diorf,Gilneu Francisco Astolfi Vivan,01/01/2026,em exercício,Em exercício
