Discriminação;Dez/1997;Dez/1998;Dez/1999;Dez/2000;Dez/2001;Dez/2002;Dez/2003;Dez/2004;Dez/2005;Dez/2006;Dez/2007;Dez/2008;Dez/2009;Dez/2010;Dez/2011;Dez/2012;Dez/2013;Dez/2014;Dez/2015;Dez/2016;Dez/2017;Dez/2018;Dez/2019;Dez/2020;Dez/2021;Dez/2022;Dez/2023;Dez/2024;Dez/2025
4.3.15.1.5.2 Concessão de Financiamento 5/;0;0;0;0;0;0;-272.75221680821465;194.725966318601;168.97870146758163;300.62023766286916;-429.81652180115634;-525.90382213815;-901.5312270205607;-835.5155249256546;-178.7519869474092;-486.19918680658316;-736.6514392445242;-451.6702527664145;-757.8353102998285;63.31952492987584;-377.43246424572646;-359.5797327901513;58.02346946981018;97.6930472292355;297.1765235895815;55.63024304506263;-92.16723594286042;-122.70759217171317;-197.1317822963305
4.3.15.1.6 Programa especial de saneamento de ativos (PESA) 6/;0;0;0;51.4461934889328;194.06179330360243;0;642.6960446810239;437.4047446812798;3455.0130481179917;1269.123382130262;1536.9054121293277;1278.4709756533948;1175.6696985304043;1124.2019262466433;1912.1168063707028;849.026611837155;1624.1087131728862;702.6678683591125;552.7757152415003;1013.7048664940127;308.08972322133275;2763.6241749226356;1516.6525286653532;742.3710158619328;911.060341218973;367.21694383215186;724.7281973585676;1320.0586190594909;368.9955522040633
4.3.15.1.7 Álcool;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.6997391990491928;1.6002365292057357;0;0;88.06684170581379;93.42942336575669;73.15636859203565;43.02224310235738;21.863776563929797;3.401863081964642;0;0;0;0;0
4.3.15.1.8 Cacau;0;0;0;0;0;0;0;3.741798395455371;3.5755937263601405;3.2829764497001226;0.830958765632893;0;2.157731409939923;0;0.33166371432709396;0.9570298033843392;0;0;0;0;0;44.531541481271454;0;12.370386868919883;0;0;0;0;0
4.3.15.1.9 Programa de subsídio à habitação de interesse social (PSH);0;0;0;0;0;218.22095202595327;567.6475712207115;1200.6121898934925;789.7610494648047;845.5618560872787;363.05344209097393;892.8458717324877;497.08225909348846;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4.3.15.1.10 Securitização da dívida agrícola (LEI 9.138/1995);2267.6391511699458;2783.008374721886;1521.5881700834855;5162.354048011341;4678.726022144927;4231.378713622722;6631.486649332357;3967.6738389813972;8171.716106388578;1364.3695361044722;4064.184507720197;0;0;0;0;0;0;0;2565.282910816684;0;0;0;0;0;0;0;0;0;0
4.3.15.1.11 Fundo da terra/ INCRA 5/;0;0;0;0;0;0;0;872.8491170021689;1663.7098905265896;2831.878775098832;4304.317402534225;2580.5237721809785;2227.615185845736;1830.7880223207287;1610.0609213846171;978.9601716689434;137.26335299028875;82.97017070739619;108.43568140114647;152.30064156781364;215.53498576799944;664.1574263982207;358.08175329790635;317.98948847737995;382.59441490065274;311.2537937169552;523.4981407563424;344.78002922384076;1542.4773665021721
4.3.15.1.12 Funcafé;0;0;0;0;0;0;0;0;0;0;7.155962988753057;64.10586234997749;137.81065061689867;204.63427844275887;152.02904592017643;162.83548429294578;141.03303719571178;201.03315582114388;178.22917237449107;179.03371604301066;177.59647425163075;163.2837071549446;62.70984240394299;8.40299382207479;11.988289094574991;0.602848480068731;0;0;0
4.3.15.1.13 Revitaliza ;0;0;0;0;0;0;0;0;0;0;0;0;150.75174121909578;0;60.060841611251234;127.73463970704626;14.236790505578396;5.452633831831386;4.29096401739198;42.768795818612986;25.906681441093557;14.117834077426709;8.314626207377096;1.468375027677936;0.15149213205006795;0;0.021728729397421143;0.5117579044884586;0
4.3.15.1.14 Programa de Sustentação ao Investimento - PSI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;988.8938450449942;1665.5351283177376;251.4465321370895;215.58820387184147;52146.41938206079;16878.06820950637;12565.59494926148;7687.737053149416;4833.344710058656;2364.203037155;1125.3311880276285;810.7040335226499;567.4003213234998;253.79750356070983;205.16192454011943
4.3.15.1.15 Operações de Microcredito Produtivo Orientado (EQMPO);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;497.8442285542767;980.933240137273;704.9005771013896;724.3515949757873;0;0;8.219492396049239;0;0;0;0;0;0;0
4.3.15.1.16 Operações de crédito destinadas a Pessoas com deficiência (EQPCD) 7/;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.029321308077793984;0.9966548222525926;1.6376737440257492;9.004367113721155;9.336634110767186;10.005931665026786;10.165416344807413;10.562090600440929;11.283141892783053;11.696867462394513;10.860547188847374;13.972399539898346;11.754031809641216;11.333351159963051
4.3.15.1.17 Fundo nacional de desenvolvimento (FND) 5/;0;0;0;0;0;0;0;-171.50929703514424;-47.84562124900441;275.645662474496;1272.3155356456618;-3735.376414112037;-11025.211066554642;-57.17372423644974;0;-75.50362290001576;0;0;0;0;0;0;0;0;0;0;0;0;0
4.3.15.1.18 Fundo Setorial Audiovisual (FSA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;116.63241253612661;518.08539736014;240.7285463324091;915.4307944165957;1144.8508812394257;930.9797273707135;990.9232529927797;619.1073276761443;982.5858223636972;547.7514921060803;473.71188318729855;2285.3517578292826;956.841523410764;808.3286037597182
4.3.15.1.19 Capitalização à Emgea;0;0;0;0;0;0;0;0;3743.5735413908296;4448.097637543248;1406.656921200396;1658.4597503101759;1453.3314753609902;1290.8339627001847;1216.3155061306074;1432.6613283273896;1527.5747169108063;0;0;0;0;0;0;0;0;0;0;0;0
