Colegiado;AreaAtuacao;Membro;Posse;Exoneracao;StatusMembroColegiado
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Isaac Sidney Menezes Ferreira;2016-07-06T03:00:00Z;2018-04-26T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Política Econômica - Dipec;Aldo Luiz Mendes;2016-06-29T03:00:00Z;2016-07-07T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria-Executiva do Ministério da Fazenda;Eduardo Refinetti Guardia;2016-06-15T03:00:00Z;2018-04-10T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Presidente do Banco Central do Brasil;Ilan Goldfajn;2016-06-09T03:00:00Z;2019-02-28T03:00:00Z;Exonerado
Diretoria Colegiada;Presidente do Banco Central do Brasil;Ilan Goldfajn;2016-06-09T03:00:00Z;2019-02-28T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Presidente do Banco Central do Brasil;Ilan Goldfajn;2016-06-09T03:00:00Z;2019-02-28T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria do Tesouro Nacional;Ana Paula Vitali Janes Vescovi;2016-06-03T03:00:00Z;2018-04-17T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro do Planejamento;Dyogo Henrique de Oliveira - [interino];2016-05-24T03:00:00Z;2017-03-31T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria de Política Econômica do Ministério da Fazenda (SPE) / Ministério da Economia;Carlos Hamilton Vasconcelos Araújo;2016-05-23T03:00:00Z;2016-11-21T02:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria-Executiva do Ministério da Fazenda;Tarcísio José Massote de Godoy;2016-05-18T03:00:00Z;2016-06-15T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria-Executiva de Planejamento, Orçamento e Coordenação/Ministério do Planejamento/Ministério do Planejamento e Orçamento;Dyogo Henrique de Oliveira;2016-05-17T03:00:00Z;2017-03-31T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro do Planejamento;Romero Jucá;2016-05-13T03:00:00Z;2016-05-24T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro da Fazenda;Henrique de Campos Meirelles;2016-05-13T03:00:00Z;2018-04-06T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria-Executiva de Planejamento, Orçamento e Coordenação/Ministério do Planejamento/Ministério do Planejamento e Orçamento;Francisco Gaetani;2016-01-04T02:00:00Z;2016-05-17T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria do Tesouro Nacional;Otávio Ladeira de Medeiros;2015-12-24T02:00:00Z;2016-06-03T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria de Política Econômica do Ministério da Fazenda (SPE) / Ministério da Economia;Manoel Carlos de Castro Pires;2015-12-24T02:00:00Z;2016-05-19T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria-Executiva do Ministério da Fazenda;Dyogo Henrique de Oliveira;2015-12-22T02:00:00Z;2016-05-17T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria-Executiva de Planejamento, Orçamento e Coordenação/Ministério do Planejamento/Ministério do Planejamento e Orçamento;Esteves Pedro Colnago Júnior;2015-12-22T02:00:00Z;2016-01-04T02:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro da Fazenda;Nelson Henrique Barbosa Filho;2015-12-21T02:00:00Z;2016-05-12T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro do Planejamento;Valdir Moysés Simão;2015-12-21T02:00:00Z;2016-05-12T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Administração - Dirad;Luiz Edson Feltrim;2015-09-29T03:00:00Z;2017-09-19T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Política Econômica - Dipec;Altamir Lopes;2015-09-29T03:00:00Z;2016-06-29T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Assuntos Internacionais e de Gestão de Riscos Corporativos - Direx;Tony Volpon;2015-04-27T03:00:00Z;2016-07-07T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Regulação - Dinor;Otávio Ribeiro Damaso;2015-04-24T03:00:00Z;2024-12-31T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Tony Volpon;2015-04-24T03:00:00Z;2016-07-07T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Otávio Ribeiro Damaso;2015-04-24T03:00:00Z;2024-12-31T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Regulação - Dinor;Anthero de Moraes Meirelles;2015-02-05T02:00:00Z;2015-04-27T03:00:00Z;Dispensado do encargo
Diretoria Colegiada;Diretor de Política Econômica - Dipec;Luiz Awazu Pereira da Silva;2015-02-05T02:00:00Z;2015-09-29T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria de Política Econômica do Ministério da Fazenda (SPE) / Ministério da Economia;Afonso Arinos de Mello Franco Neto;2015-01-30T02:00:00Z;2015-12-24T02:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria-Executiva do Ministério da Fazenda;Tarcísio José Massote de Godoy;2015-01-12T02:00:00Z;2015-12-22T02:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria do Tesouro Nacional;Marcelo Barbosa Saintive;2015-01-09T02:00:00Z;2015-12-24T02:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria-Executiva de Planejamento, Orçamento e Coordenação/Ministério do Planejamento/Ministério do Planejamento e Orçamento;Dyogo Henrique de Oliveira;2015-01-05T02:00:00Z;2015-12-22T02:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro da Fazenda;Joaquim Vieira Ferreira Levy;2015-01-01T02:00:00Z;2015-12-21T02:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro do Planejamento;Nelson Henrique Barbosa Filho;2015-01-01T02:00:00Z;2015-12-21T02:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria-Executiva do Ministério da Fazenda;Paulo Rogério Caffarelli;2014-02-13T02:00:00Z;2015-01-12T02:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Regulação - Dinor;Luiz Awazu Pereira da Silva;2013-06-25T03:00:00Z;2015-02-05T02:00:00Z;Dispensado do encargo
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria-Executiva do Ministério da Fazenda;Dyogo Henrique de Oliveira;2013-06-03T03:00:00Z;2014-02-13T02:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Presidente da Comissão de Valores Mobiliários (CVM);Leonardo Porciúncula Gomes Pereira;2012-10-24T02:00:00Z;2017-07-14T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Relacionamento Institucional e Cidadania - Direc;Luiz Edson Feltrim;2012-09-13T03:00:00Z;2016-07-07T03:00:00Z;Dispensado do encargo
Comissão Técnica da Moeda e do Crédito - Comoc;Presidente da Comissão de Valores Mobiliários (CVM);Otavio Yazbek;2012-07-15T03:00:00Z;2012-10-23T02:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Assuntos Especiais - Diasp;Luiz Edson Feltrim;2012-06-28T03:00:00Z;2012-09-13T03:00:00Z;Dispensado do encargo
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Luiz Edson Feltrim;2012-06-28T03:00:00Z;2017-09-19T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria-Executiva de Planejamento, Orçamento e Coordenação/Ministério do Planejamento/Ministério do Planejamento e Orçamento;Eva Maria Cella Dal Chiavon;2011-11-01T02:00:00Z;2015-01-05T02:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria-Executiva de Planejamento, Orçamento e Coordenação/Ministério do Planejamento/Ministério do Planejamento e Orçamento;Valter Correia da Silva;2011-09-15T03:00:00Z;2011-11-01T02:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Organização do Sistema Financeiro e Controle de Operações do Crédito Rural - Diorf;Sidnei Corrêa Marques;2011-05-04T03:00:00Z;2016-12-22T02:00:00Z;Dispensado do encargo
Diretoria Colegiada;Diretor de Assuntos Internacionais e de Gestão de Riscos Corporativos - Direx;Luiz Awazu Pereira da Silva;2011-05-04T03:00:00Z;2015-04-27T03:00:00Z;Dispensado do encargo
Diretoria Colegiada;Diretor de Regulação do Sistema Financeiro - Dinor;Luiz Awazu Pereira da Silva;2011-05-04T03:00:00Z;2013-06-25T03:00:00Z;Dispensado do encargo
