year,month_name,period,vol_import_bbl,dispendio_importacao_usd_fob,custo_prod_c1_usd,custo_prod_c2_usd,lucro_liquido_incremental_c1_usd,lucro_liquido_incremental_c2_usd
2013,Março,2013-03,15094404.37723151,1489093313,301888087.5446302,377360109.43078774,1187205225.45537,1111733203.5692122
2013,Abril,2013-04,20429804.474930674,2287863808,408596089.4986135,510745111.8732668,1879267718.5013862,1777118696.126733
2013,Maio,2013-05,20612929.957879998,2179825131,412258599.1575999,515323248.94699997,1767566531.8423998,1664501882.053
2013,Junho,2013-06,9450662.123523943,991489453,189013242.47047886,236266553.0880986,802476210.529521,755222899.911901
2013,Julho,2013-07,15608617.592438,1369579588,312172351.84876,390215439.81095,1057407236.1512402,979364148.18905
2013,Agosto,2013-08,17799556.156090993,1589148662,355991123.12181985,444988903.90227485,1233157538.8781803,1144159758.097725
2013,Setembro,2013-09,13171485.445619479,1297823186,263429708.91238958,329287136.14048696,1034393477.0876107,968536049.8595132
2013,Outubro,2013-10,17553976.084008057,1727176461,351079521.6801611,438849402.1002014,1376096939.3198392,1288327058.899799
2013,Novembro,2013-11,14193032.274436705,1389466026,283860645.4887341,354825806.8609176,1105605380.5112658,1034640219.1390822
2013,Dezembro,2013-12,14795151.931616792,1589885703,295903038.63233584,369878798.2904198,1293982664.367664,1220006904.70958
2014,Janeiro,2014-01,17731659.681705527,1773723759,354633193.63411057,443291492.0426382,1419090565.3658895,1330432266.9573615
2014,Fevereiro,2014-02,16968987.242453717,1806379994,339379744.84907436,424224681.0613429,1467000249.1509254,1382155312.9386566
2014,Março,2014-03,13167801.18331829,1334890866,263356023.6663658,329195029.58295727,1071534842.3336341,1005695836.4170426
2014,Abril,2014-04,12641641.627999777,1326430897,252832832.55999553,316041040.69999444,1073598064.4400045,1010389856.3000052
2014,Maio,2014-05,17538012.383633904,1696911205,350760247.6726781,438450309.5908476,1346150957.327322,1258460895.4091527
2014,Junho,2014-06,17151095.561705913,1740814395,343021911.2341183,428777389.04264784,1397792483.765882,1312037005.957352
2014,Julho,2014-07,19160326.461099915,1841261893,383206529.22199833,479008161.5274979,1458055363.7780013,1362253731.4725018
2014,Agosto,2014-08,14686531.587423692,1442294609,293730631.7484738,367163289.6855923,1148563977.2515256,1075131319.314407
2014,Setembro,2014-09,17068704.31425192,1791040052,341374086.28503835,426717607.85629797,1449665965.7149618,1364322444.143702
2014,Outubro,2014-10,13003480.841590932,1197256377,260069616.83181864,325087021.0397733,937186760.1681814,872169355.9602267
2014,Novembro,2014-11,15786727.369035855,1505458513,315734547.3807171,394668184.22589636,1189723965.6192827,1110790328.774104
2014,Dezembro,2014-12,21829734.55645546,2019214855,436594691.1291092,545743363.9113865,1582620163.8708906,1473471491.0886135
2015,Janeiro,2015-01,14725126.421549933,1209056660,294502528.4309987,368128160.5387483,914554131.5690012,840928499.4612516
2015,Fevereiro,2015-02,17089829.235156305,1242945133,341796584.7031261,427245730.8789076,901148548.2968737,815699402.1210923
2015,Março,2015-03,18761172.59681983,1058697292,375223451.9363966,469029314.92049575,683473840.063603,589667977.0795043
2015,Abril,2015-04,14363914.659480486,797970380,287278293.1896097,359097866.48701215,510692086.8103902,438872513.5129877
2015,Maio,2015-05,13863656.617451413,837680967,277273132.3490282,346591415.4362853,560407834.650972,491089551.5637148
2015,Junho,2015-06,15012212.511960207,943261505,300244250.2392041,375305312.79900515,643017254.7607957,567956192.2009946
2015,Julho,2015-07,14007865.45893106,835375362,280157309.17862123,350196636.4732765,555218052.8213787,485178725.5267234
2015,Agosto,2015-08,4458744.880145063,202609924,89174897.60290125,111468622.00362657,113435026.39709865,91141301.99637336
2015,Setembro,2015-09,9657600.75433741,542243259,193152015.08674818,241440018.85843524,349091243.91325176,300803240.14156467
2015,Outubro,2015-10,10970253.029928574,586012850,219405060.59857148,274256325.74821436,366607789.40142846,311756524.2517854
2015,Novembro,2015-11,18887719.553918976,1004817104,377754391.0783795,472192988.8479744,627062712.9216205,532624115.15202564
2015,Dezembro,2015-12,10003870.527901363,449607246,200077410.55802727,250096763.19753405,249529835.4419725,199510482.80246583
2016,Janeiro,2016-01,3759252.971664985,151557009,75185059.4332997,93981324.29162464,76371949.5667004,57575684.70837524
2016,Fevereiro,2016-02,17651757.846077062,808401486,353035156.9215412,441293946.1519266,455366329.0784587,367107539.84807354
2016,Março,2016-03,17009226.267321263,743970214,340184525.34642524,425230656.68303156,403785688.6535745,318739557.31696826
2016,Abril,2016-04,17521543.91527449,717307648,350430878.3054898,438038597.8818622,366876769.69451016,279269050.118138
2016,Maio,2016-05,15362174.439648535,619615405,307243488.7929707,384054360.9912134,312371916.2070294,235561044.00878653
2016,Junho,2016-06,14529503.521464732,630393235,290590070.42929465,363237588.0366183,339803164.57070553,267155646.96338165
2016,Julho,2016-07,19463368.26785411,930162370,389267365.3570822,486584206.6963527,540895004.642918,443578163.30364746
2016,Agosto,2016-08,20186904.85181366,935513812,403738097.0362732,504672621.2953415,531775714.9637268,430841190.7046587
2016,Setembro,2016-09,15701694.304138208,719217387,314033886.08276415,392542357.6034552,405183500.9172358,326675029.3965449
2016,Outubro,2016-10,13385699.470802968,706410321,267713989.41605937,334642486.7700742,438696331.58394057,371767834.2299257
2016,Novembro,2016-11,10659235.747877298,561196439,213184714.95754597,266480893.69693244,348011724.0424541,294715545.3030675
2016,Dezembro,2016-12,12933893.964270897,709692872,258677879.28541794,323347349.1067724,451014992.7145821,386345522.89322776
2017,Janeiro,2017-01,19306646.45472365,1002243677,386132929.094473,482666161.3680912,616110747.9055269,519577515.6319082
2017,Fevereiro,2017-02,24657149.304716412,1325511584,493142986.0943282,616428732.6179103,832368597.9056717,709082851.3820896
2017,Março,2017-03,18297313.86467003,1069452513,365946277.29340065,457432846.6167508,703506235.7065994,612019666.3832493
2017,Abril,2017-04,16877236.007983103,960369907,337544720.15966207,421930900.19957757,622825186.8403381,538439006.8004227
2017,Maio,2017-05,13637962.133037342,747063865,272759242.6607468,340949053.3259335,474304622.33925325,406114811.6740666
2017,Junho,2017-06,21083712.298562266,1186769052,421674245.9712453,527092807.4640567,765094806.0287546,659676244.5359435
