year,month,month_name,period,vol_import_bbl,spend_import_usd_fob,price_import_usd_bbl,vol_national_bbl,vol_total_bbl,wac_c1_usd_bbl,wac_c2_usd_bbl,diff_wac_minus_20,diff_wac_minus_25,foregone_revenue_c1_usd,foregone_revenue_c2_usd
2012,8,Agosto,2012-08,9452970.555049827,854344667,90.37843310996082,62313095.93002294,71766066.48507276,29.27019256430032,33.61159644652256,9.27019256430032,8.611596446522562,665285255.8990039,618020403.1237545
2012,9,Setembro,2012-09,10671675.249781223,1016770627,95.27750828257678,59849428.87285665,70521104.12263787,31.391442774454482,35.6348128703606,11.391442774454482,10.634812870360598,803337122.0043753,749978745.755469
2012,10,Outubro,2012-10,14514184.270230733,1448550938,99.80243539907684,60470042.31847032,74984226.58870105,35.44681202019517,39.47899619208487,15.446812020195168,14.478996192084871,1158267252.5953856,1085696331.2442317
2012,11,Novembro,2012-11,21700222.39715225,2486141755,114.56757029947582,58228465.86100229,79928688.25815454,45.674602596115925,49.317128648397386,25.674602596115925,24.317128648397386,2052137307.056955,1943636195.0711935
2012,12,Dezembro,2012-12,11445688.151866468,1166541548,101.91973890270373,61659284.842070036,73104972.99393651,32.825772947627506,37.04294739670256,12.825772947627506,12.042947396702559,937627784.9626703,880399344.2033385
2013,1,Janeiro,2013-01,20986094.44648125,2316230917,110.36979381308196,63969158.45293569,84955252.89941694,42.32362288787196,46.08849652839141,22.323622887871963,21.08849652839141,1896509028.070375,1791578555.8379683
2013,2,Fevereiro,2013-02,12894365.716019636,1372803134,106.46534806240713,57421952.854086295,70316318.57010593,35.85571944538063,39.93883656682351,15.855719445380629,14.938836566823511,1114915819.6796076,1050443991.0995095
2013,3,Março,2013-03,15094404.37723151,1489093313,98.65200876996228,64296534.39607749,79390938.773309,34.9539134289026,39.00327569804444,14.953913428902602,14.00327569804444,1187205225.45537,1111733203.5692122
2013,4,Abril,2013-04,20429804.474930674,2287863808,111.9865738709065,62265359.56169358,82695164.03662425,42.72524325206116,46.48999541665675,22.725243252061162,21.489995416656747,1879267718.5013862,1777118696.126733
2013,5,Maio,2013-05,20612929.957879998,2179825131,105.75037781888388,64832213.147053555,85445143.10493356,40.68656529337993,44.48035688826522,20.686565293379928,19.48035688826522,1767566531.8423998,1664501882.053
