ano,mes,mes_nome,periodo,volume_produzido_brasil_barris,volume_importado_barris,dispendio_importacao_usd,custo_medio_importado_usd_bbl,custo_producao_brasil_usd_bbl,volume_total_proxy_consumo_barris,custo_medio_ponderado_usd_bbl,lucro_bruto_adicional_usd
2009,3,Março,2009-03,57808043.484579995,8947526.816481795,394572405.0,44.09848811776431,25.0,66755570.301061794,27.559849819532392,170884234.58795512
2009,4,Abril,2009-04,52233620.53039965,6222750.467212362,266182112.0,42.77563649748002,25.0,58456370.997612014,26.892237722458162,110613350.31969093
2009,5,Maio,2009-05,55433139.02214132,8983155.84528756,414328107.0,46.12277846847674,25.0,64416294.867428884,27.94567098679491,189749210.86781102
2009,6,Junho,2009-06,55564107.48114851,6764640.038923161,352796786.0,52.15307599074561,25.0,62328747.52007167,27.946967367951206,183680785.02692094
2009,7,Julho,2009-07,57165941.786023356,9497435.005553136,520662013.0,54.821329411106234,25.0,66663376.79157649,29.248601728452496,283226137.8611716
2009,8,Agosto,2009-08,59854575.8540714,10397865.908449434,586289928.0,56.38560192660049,25.0,70252441.76252083,29.6452944851643,326343280.2887641
2009,9,Setembro,2009-09,56678797.69004906,9223596.30053822,596365100.0,64.65646159786944,25.0,65902393.99058728,30.550256528447015,365775192.4865445
2009,10,Outubro,2009-10,56811453.9768924,10827036.833481686,665244790.0,61.442922955871666,25.0,67638490.81037408,30.833496052848663,394568869.1629578
2009,11,Novembro,2009-11,56733289.861871436,8355946.959062712,565195614.0,67.63992360997443,25.0,65089236.82093415,30.473976304310256,356296940.0234322
2009,12,Dezembro,2009-12,58825632.87278631,9924846.01994233,655317042.0,66.02793037627478,25.0,68750478.89272864,30.922808074352318,407195891.5014418
2010,1,Janeiro,2010-01,56148285.71911827,9414530.99971,682319587.0,72.47515431422106,25.0,65562816.71882827,31.817222541308137,446956312.0072501
2010,2,Fevereiro,2010-02,51510333.71264662,12749633.862420136,891695310.0,69.9388954712099,25.0,64259967.57506675,33.91619596244251,572954463.4394966
2010,3,Março,2010-03,49534889.82024408,15058432.00626925,1167815369.0,77.55225567401742,25.0,64593321.826513335,37.25133723527507,791354568.8432686
2010,4,Abril,2010-04,54553971.96234797,16372735.43698997,1308780539.0,79.93658384310957,25.0,70926707.39933795,37.68157209118728,899462153.0752507
2010,5,Maio,2010-05,55056857.08039373,13572992.68270945,1015238456.0,74.79842358519105,25.0,68629849.76310319,34.84868306233199,675913638.9322637
2010,6,Junho,2010-06,56813917.98007971,13569329.32653739,1045314172.0,77.03506539233966,25.0,70383247.3066171,35.031946036257736,706080938.8365654
2010,7,Julho,2010-07,60682967.26573068,14021750.600336976,974862038.0,69.52498769850975,25.0,74704717.86606765,33.35714652066377,624318272.9915755
2010,8,Agosto,2010-08,55639909.192867145,17758629.93104656,1289382395.0,72.6059611584019,25.0,73398539.1239137,36.518167211701275,845416646.723836
2010,9,Setembro,2010-09,54646821.21237579,19163696.068049558,1405488544.0,73.34120406675015,25.0,73810517.28042534,37.5510046051993,926396142.2987611
2010,10,Outubro,2010-10,56585682.117261454,15372437.473983318,1188914621.0,77.34067047025871,25.0,71958119.59124477,36.18155517015921,804603684.1504171
2010,11,Novembro,2010-11,58847955.0551327,14827029.699770605,1217851202.0,82.13723359701922,25.0,73674984.7549033,36.49882096785033,847175459.5057348
2010,12,Dezembro,2010-12,62049345.19462069,10304742.929692388,792475458.0,76.9039522292728,25.0,72354088.12431309,32.39221374525157,534856884.75769037
2011,1,Janeiro,2011-01,57146382.98790878,9632416.860468877,771397585.0,80.08349266587396,25.0,66778799.84837766,32.945443234873714,530587163.4882781
2011,2,Fevereiro,2011-02,54046663.64896526,10036231.65215312,864987761.0,86.1865081416719,25.0,64082895.30111838,34.58261899389329,614081969.696172
2011,3,Março,2011-03,60353255.282861695,14005857.878066886,1230655288.0,87.86718376795761,25.0,74359113.16092858,36.841303689874884,880508841.0483278
2011,4,Abril,2011-04,56051603.112779275,15502598.150982644,1614444784.0,104.14027173230103,25.0,71554201.26376192,42.14616065243926,1226879830.225434
2011,5,Maio,2011-05,60993315.09698252,14864840.059009999,1633243538.0,109.87293045309593,25.0,75858155.15599251,41.63133691994468,1261622536.52475
2011,6,Junho,2011-06,55487375.60574107,15852170.2783438,1691977924.0,106.73478106095477,25.0,71339545.88408487,43.16206777019108,1295673667.041405
2011,7,Julho,2011-07,58394103.414368644,15815136.002859998,1674552948.0,105.88293061135705,25.0,74209239.41722864,42.23740275434656,1279174547.9285
