titulo,numero,tipo,libera_captacao,libera_captacao_inicial,data_portaria,data_publicacao,edicao,secao,pagina,orgao,url,url_title,qtd_projetos,valor_total_anexo,lei_8313,texto_art1
"PORTARIA SEFIC/MINC Nº 458, DE 21 DE JULHO DE 2026",458,complementacao_valor,True,False,2026-07-21,2026-07-22,136,,38,Ministério da Cultura/Secretaria de Fomento e Incentivo à Cultura,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-458-de-21-de-julho-de-2026-720537669,portaria-sefic/minc-n-458-de-21-de-julho-de-2026-720537669,2,62336.2,True,Homologar o valor complementado de valor em favor do(s) projeto(s) cultural(is) relacionado(s) no(s)
"PORTARIA SEFIC/MINC Nº 459, DE 21 DE JULHO DE 2026",459,prorrogacao_prazo,True,False,2026-07-21,2026-07-22,136,,38,Ministério da Cultura/Secretaria de Fomento e Incentivo à Cultura,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-459-de-21-de-julho-de-2026-720561133,portaria-sefic/minc-n-459-de-21-de-julho-de-2026-720561133,2,0.0,True,"Homologar a prorrogação do prazo de captação de recursos do(s) projeto(s) cultural(is), relacionado(s) no(s)"
"PORTARIA SEFIC/MINC Nº 460, DE 21 DE JULHO DE 2026",460,alteracao_projeto,False,False,2026-07-21,2026-07-22,136,,38,Ministério da Cultura/Secretaria de Fomento e Incentivo à Cultura,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-460-de-21-de-julho-de-2026-720533801,portaria-sefic/minc-n-460-de-21-de-julho-de-2026-720533801,3,0.0,True,Homologar a alteração dos projetos culturais relacionados nos
"PORTARIA SEFIC/MINC Nº 461, DE 22 DE JULHO DE 2026",461,homologacao_captacao,True,True,2026-07-22,2026-07-23,137,,45,Ministério da Cultura/Secretaria de Fomento e Incentivo à Cultura,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-461-de-22-de-julho-de-2026-720731792,portaria-sefic/minc-n-461-de-22-de-julho-de-2026-720731792,53,177164803.37,True,Homologar os projetos culturais relacionados nos
"PORTARIA SEFIC/MINC Nº 462, DE 22 DE JULHO DE 2026",462,prorrogacao_prazo,True,False,2026-07-22,2026-07-23,137,,48,Ministério da Cultura/Secretaria de Fomento e Incentivo à Cultura,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-462-de-22-de-julho-de-2026-720811376,portaria-sefic/minc-n-462-de-22-de-julho-de-2026-720811376,3,0.0,True,"Homologar a prorrogação do prazo de captação de recursos do(s) projeto(s) cultural(is), relacionado(s) no(s)"
"PORTARIA SEFIC/MINC Nº 463, DE 23 DE JULHO DE 2026",463,homologacao_captacao,True,True,2026-07-23,2026-07-27,139,,13,Ministério da Cultura/Secretaria de Fomento e Incentivo à Cultura,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-463-de-23-de-julho-de-2026-721365386,portaria-sefic/minc-n-463-de-23-de-julho-de-2026-721365386,51,27907269.11,True,Homologar os projetos culturais relacionados nos
"PORTARIA SEFIC/MINC Nº 463, DE 24 DE JULHO DE 2026",463,homologacao_captacao,True,True,2026-07-24,2026-07-27,139,,17,Ministério da Cultura/Secretaria de Fomento e Incentivo à Cultura,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-463-de-24-de-julho-de-2026-721350178,portaria-sefic/minc-n-463-de-24-de-julho-de-2026-721350178,50,65451908.2,True,Homologar os projetos culturais relacionados nos
"PORTARIA SEFIC/MINC Nº 464, DE 23 DE JULHO DE 2026",464,complementacao_valor,True,False,2026-07-23,2026-07-27,139,,20,Ministério da Cultura/Secretaria de Fomento e Incentivo à Cultura,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-464-de-23-de-julho-de-2026-721347143,portaria-sefic/minc-n-464-de-23-de-julho-de-2026-721347143,1,35695.01,True,Homologar o valor complementado de valor em favor do(s) projeto(s) cultural(is) relacionado(s) no(s)
"PORTARIA SEFIC/MINC Nº 464, DE 24 DE JULHO DE 2026",464,complementacao_valor,True,False,2026-07-24,2026-07-27,139,,20,Ministério da Cultura/Secretaria de Fomento e Incentivo à Cultura,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-464-de-24-de-julho-de-2026-721367000,portaria-sefic/minc-n-464-de-24-de-julho-de-2026-721367000,1,35695.01,True,Homologar o valor complementado de valor em favor do(s) projeto(s) cultural(is) relacionado(s) no(s)
"PORTARIA SEFIC/MINC Nº 465, DE 23 DE JULHO DE 2026",465,alteracao_projeto,False,False,2026-07-23,2026-07-27,139,,20,Ministério da Cultura/Secretaria de Fomento e Incentivo à Cultura,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-465-de-23-de-julho-de-2026-721343575,portaria-sefic/minc-n-465-de-23-de-julho-de-2026-721343575,1,0.0,True,Homologar a alteração dos projetos culturais relacionados nos
"PORTARIA SEFIC/MINC Nº 465, DE 24 DE JULHO DE 2026",465,alteracao_projeto,False,False,2026-07-24,2026-07-27,139,,20,Ministério da Cultura/Secretaria de Fomento e Incentivo à Cultura,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-465-de-24-de-julho-de-2026-721363425,portaria-sefic/minc-n-465-de-24-de-julho-de-2026-721363425,3,0.0,True,Homologar a alteração dos projetos culturais relacionados nos
"PORTARIA SEFIC/MINC Nº 466, DE 27 DE JULHO DE 2026",466,homologacao_captacao,True,True,2026-07-27,2026-07-28,140,,20,Ministério da Cultura/Secretaria de Fomento e Incentivo à Cultura,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-466-de-27-de-julho-de-2026-721624586,portaria-sefic/minc-n-466-de-27-de-julho-de-2026-721624586,79,84618937.25,True,Homologar os projetos culturais relacionados nos
"PORTARIA SEFIC/MINC Nº 467, DE 27 DE JULHO DE 2026",467,complementacao_valor,True,False,2026-07-27,2026-07-28,140,,26,Ministério da Cultura/Secretaria de Fomento e Incentivo à Cultura,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-467-de-27-de-julho-de-2026-721612270,portaria-sefic/minc-n-467-de-27-de-julho-de-2026-721612270,1,102218.32,True,Homologar o valor complementado de valor em favor do(s) projeto(s) cultural(is) relacionado(s) no(s)
"PORTARIA SEFIC/MINC Nº 468, DE 27 DE JULHO DE 2026",468,prorrogacao_prazo,True,False,2026-07-27,2026-07-28,140,,26,Ministério da Cultura/Secretaria de Fomento e Incentivo à Cultura,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-468-de-27-de-julho-de-2026-721637297,portaria-sefic/minc-n-468-de-27-de-julho-de-2026-721637297,4,0.0,True,"Homologar a prorrogação do prazo de captação de recursos do(s) projeto(s) cultural(is), relacionado(s) no(s)"
"PORTARIA SEFIC/MINC Nº 469, DE 27 DE JULHO DE 2026",469,reducao_valor,False,False,2026-07-27,2026-07-28,140,,27,Ministério da Cultura/Secretaria de Fomento e Incentivo à Cultura,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-469-de-27-de-julho-de-2026-721626735,portaria-sefic/minc-n-469-de-27-de-julho-de-2026-721626735,1,135367.52,True,Homologar o valor reduzido de valor em favor do(s) projeto(s) cultural(is) relacionado(s) no(s)
