Mês,Dívida bruta — abertura (R$ milhões),Dívida bruta — abertura (% PIB),Fatores condicionantes (R$ milhões),Fatores condicionantes (% PIB),Necessidade de financiamento da DBGG (R$ milhões),Necessidade de financiamento da DBGG (% PIB),Juros nominais (R$ milhões),Juros nominais (% PIB),Emissões líquidas (R$ milhões),Emissões líquidas (% PIB),Ajuste cambial (R$ milhões),Ajuste cambial (% PIB),Dívida interna indexada ao câmbio (R$ milhões),Dívida interna indexada ao câmbio (% PIB),Dívida externa — metodológico (R$ milhões),Dívida externa — metodológico (% PIB),Dívida externa — outros ajustes (R$ milhões),Dívida externa — outros ajustes (% PIB),Reconhecimento de dívidas (R$ milhões),Reconhecimento de dívidas (% PIB),Privatizações (R$ milhões),Privatizações (% PIB),Efeito do crescimento do PIB sobre a dívida (p.p. do PIB),Variação mensal da dívida bruta (R$ milhões),Variação mensal da dívida bruta (p.p. do PIB),Dívida bruta — fechamento (R$ milhões),Dívida bruta — fechamento (% PIB),PIB acumulado em 12 meses (R$ milhões),Publicação BCB
2015-09-30,3743680.988562,62.986160,45370.802633,0.762069,23479.941475,0.394380,34000.124752,0.571082,-10520.183277,-0.176702,23500.501620,0.394725,1525.241735,0.025619,21975.259885,0.369107,-1609.640461,-0.027036,0.000000,0.000000,0.000000,0.000000,-0.105554,45370.802633,0.656516,3789051.791195,63.642675,5953633.734361,facdbp-201812
2015-10-31,3789051.791195,63.642675,24885.093733,0.416928,30607.196678,0.512797,39020.827949,0.653760,-8413.631271,-0.140963,-8194.503055,-0.137292,-531.618502,-0.008907,-7662.884553,-0.128385,-15.622869,-0.000262,2488.022980,0.041685,0.000000,0.000000,-0.160420,24885.093733,0.256508,3813936.884929,63.899184,5968678.585499,facdbp-201812
2015-11-30,3813936.884929,63.899184,30743.994054,0.513845,30273.653400,0.505984,40525.915139,0.677337,-10252.261739,-0.171353,-609.068264,-0.010180,-36.932920,-0.000617,-572.135344,-0.009562,-629.087112,-0.010514,1708.496030,0.028555,0.000000,0.000000,-0.154285,30743.994054,0.359561,3844680.878983,64.258744,5983124.834400,facdbp-201812
2015-12-31,3844680.878983,64.258744,82842.183818,1.381673,78275.099917,1.305502,43054.076909,0.718072,35221.023008,0.587430,3922.744131,0.065425,274.461421,0.004578,3648.282710,0.060847,-875.960185,-0.014610,1520.299954,0.025356,0.000000,0.000000,-0.135704,82842.183818,1.245969,3927523.062801,65.504713,5995787.000000,facdbp-201812
2016-01-31,3927523.062801,65.504713,65256.073091,1.086876,53949.921462,0.898566,43244.379615,0.720259,10705.541846,0.178307,10019.265085,0.166876,733.899959,0.012224,9285.365127,0.154653,1286.886545,0.021434,0.000000,0.000000,0.000000,0.000000,-0.089621,65256.073091,0.997255,3992779.135892,66.501968,6004001.479184,facdbp-201812
2016-02-29,3992779.135892,66.501968,24519.413267,0.406728,29408.328756,0.487826,43953.801257,0.729106,-14545.472501,-0.241281,-4534.956287,-0.075226,-354.742667,-0.005884,-4180.213620,-0.069341,-353.959201,-0.005871,0.000000,0.000000,0.000000,0.000000,-0.269691,24519.413267,0.137037,4017298.549160,66.639005,6028449.154129,facdbp-201812
2016-03-31,4017298.549160,66.639005,-11598.303960,-0.192078,17734.653633,0.293702,43888.692061,0.726835,-26154.038428,-0.433134,-30565.660776,-0.506194,-2397.458234,-0.039704,-28168.202543,-0.466490,1232.703183,0.020415,0.000000,0.000000,0.000000,0.000000,-0.108994,-11598.303960,-0.301072,4005700.245199,66.337933,6038325.393213,facdbp-201812
2016-04-30,4005700.245199,66.337933,33589.036762,0.554804,41544.855592,0.686214,38178.218224,0.630605,3366.637368,0.055608,-8012.061427,-0.132339,-619.617382,-0.010234,-7392.444045,-0.122104,56.242597,0.000929,0.000000,0.000000,0.000000,0.000000,-0.174126,33589.036762,0.380678,4039289.281961,66.718611,6054216.728430,facdbp-201812
2016-05-31,4039289.281961,66.718611,74609.295108,1.227948,65138.539422,1.072075,41927.765500,0.690063,23210.773922,0.382012,10703.229378,0.176158,834.675210,0.013737,9868.554168,0.162420,-1232.473691,-0.020285,0.000000,0.000000,0.000000,0.000000,-0.238444,74609.295108,0.989504,4113898.577070,67.708114,6075931.388924,facdbp-201812
2016-06-30,4113898.577070,67.708114,16932.024257,0.276826,40272.797503,0.658431,46037.963127,0.752687,-5765.165625,-0.094256,-28713.973732,-0.469452,-2322.308753,-0.037968,-26391.664979,-0.431484,1312.516883,0.021459,4060.683604,0.066389,0.000000,0.000000,-0.448896,16932.024257,-0.172069,4130830.601327,67.536045,6116482.838259,facdbp-201812
