codigo,ano,data,valor_dezembro_rs_mil,variacao_ano_rs_mil,n_meses,fechamento,serie,coluna,grupo,valor_dezembro_rs_milhoes,variacao_ano_rs_milhoes
1811,2004,2004-12-01,7186047,14556008.0,12,dezembro,Operações com o setor externo,setor_externo,fator,7186.047,14556.008
1815,2004,2004-12-01,-1577674,-2400391.0,12,dezembro,Depósitos de instituições financeiras,depositos_instituicoes_financeiras,fator,-1577.674,-2400.391
1818,2004,2004-12-01,214898,-148935.0,12,dezembro,Autoridade Monetária — Outras operações,outras_operacoes,fator,214.898,-148.935
12484,2004,2004-12-01,-1331,-7140.0,12,dezembro,Redesconto do Banco Central,redesconto,fator,-1.331,-7.14
12487,2004,2004-12-01,-1581560,-6032014.0,12,dezembro,Derivativos — ajustes,derivativos_ajustes,fator,-1581.56,-6032.014
1788,2005,2005-12-01,101247235,12514558.0,12,dezembro,Base monetária restrita,base_monetaria_restrita,resultado,101247.235,12514.558
1809,2005,2005-12-01,9945445,2808482.0,12,dezembro,Títulos públicos federais — Total,titulos_publicos_total,fator,9945.445,2808.482
1810,2005,2005-12-01,-1519602,-43007731.0,12,dezembro,Tesouro Nacional — Conta única,tesouro_conta_unica,fator,-1519.602,-43007.731
1811,2005,2005-12-01,9261061,52394883.0,12,dezembro,Operações com o setor externo,setor_externo,fator,9261.061,52394.883
1815,2005,2005-12-01,-1927550,2373784.0,12,dezembro,Depósitos de instituições financeiras,depositos_instituicoes_financeiras,fator,-1927.55,2373.784
1818,2005,2005-12-01,144777,632906.0,12,dezembro,Autoridade Monetária — Outras operações,outras_operacoes,fator,144.777,632.906
12484,2005,2005-12-01,-102,-3343.0,12,dezembro,Redesconto do Banco Central,redesconto,fator,-0.102,-3.343
12487,2005,2005-12-01,-172064,-2684423.0,12,dezembro,Derivativos — ajustes,derivativos_ajustes,fator,-172.064,-2684.423
1788,2006,2006-12-01,121102001,19854766.0,12,dezembro,Base monetária restrita,base_monetaria_restrita,resultado,121102.001,19854.766
1809,2006,2006-12-01,13309467,-686574.0,12,dezembro,Títulos públicos federais — Total,titulos_publicos_total,fator,13309.467,-686.574
1810,2006,2006-12-01,-2159061,-59510709.0,12,dezembro,Tesouro Nacional — Conta única,tesouro_conta_unica,fator,-2159.061,-59510.709
1811,2006,2006-12-01,5568509,74368942.0,12,dezembro,Operações com o setor externo,setor_externo,fator,5568.509,74368.942
1815,2006,2006-12-01,-1645963,-764370.0,12,dezembro,Depósitos de instituições financeiras,depositos_instituicoes_financeiras,fator,-1645.963,-764.37
1818,2006,2006-12-01,195164,1012499.0,12,dezembro,Autoridade Monetária — Outras operações,outras_operacoes,fator,195.164,1012.499
12484,2006,2006-12-01,-39,-1476.0,12,dezembro,Redesconto do Banco Central,redesconto,fator,-0.039,-1.476
12487,2006,2006-12-01,498916,5436454.0,12,dezembro,Derivativos — ajustes,derivativos_ajustes,fator,498.916,5436.454
1788,2007,2007-12-01,146616867,25514866.0,12,dezembro,Base monetária restrita,base_monetaria_restrita,resultado,146616.867,25514.866
1809,2007,2007-12-01,19229181,-73974527.0,12,dezembro,Títulos públicos federais — Total,titulos_publicos_total,fator,19229.181,-73974.527
1810,2007,2007-12-01,-4826282,-55600882.0,12,dezembro,Tesouro Nacional — Conta única,tesouro_conta_unica,fator,-4826.282,-55600.882
1811,2007,2007-12-01,4210354,155390627.0,12,dezembro,Operações com o setor externo,setor_externo,fator,4210.354,155390.627
1815,2007,2007-12-01,-3466240,-10600939.0,12,dezembro,Depósitos de instituições financeiras,depositos_instituicoes_financeiras,fator,-3466.24,-10600.939
1818,2007,2007-12-01,137516,1491448.0,12,dezembro,Autoridade Monetária — Outras operações,outras_operacoes,fator,137.516,1491.448
12484,2007,2007-12-01,-50,-3017.0,12,dezembro,Redesconto do Banco Central,redesconto,fator,-0.05,-3.017
12487,2007,2007-12-01,484911,8812156.0,12,dezembro,Derivativos — ajustes,derivativos_ajustes,fator,484.911,8812.156
1788,2008,2008-12-01,147549705,932838.0,12,dezembro,Base monetária restrita,base_monetaria_restrita,resultado,147549.705,932.838
1809,2008,2008-12-01,-18947937,34058554.0,12,dezembro,Títulos públicos federais — Total,titulos_publicos_total,fator,-18947.937,34058.554
1810,2008,2008-12-01,-3477074,-74312396.0,12,dezembro,Tesouro Nacional — Conta única,tesouro_conta_unica,fator,-3477.074,-74312.396
1811,2008,2008-12-01,-7846766,-12124211.0,12,dezembro,Operações com o setor externo,setor_externo,fator,-7846.766,-12124.211
1815,2008,2008-12-01,44336711,57041220.0,12,dezembro,Depósitos de instituições financeiras,depositos_instituicoes_financeiras,fator,44336.711,57041.22
1818,2008,2008-12-01,182436,1071994.0,12,dezembro,Autoridade Monetária — Outras operações,outras_operacoes,fator,182.436,1071.994
12484,2008,2008-12-01,-7,-1073.0,12,dezembro,Redesconto do Banco Central,redesconto,fator,-0.007,-1.073
12487,2008,2008-12-01,983582,-4801250.0,12,dezembro,Derivativos — ajustes,derivativos_ajustes,fator,983.582,-4801.25
1788,2009,2009-12-01,166072835,18523130.0,12,dezembro,Base monetária restrita,base_monetaria_restrita,resultado,166072.835,18523.13
1809,2009,2009-12-01,19521306,11280602.0,12,dezembro,Títulos públicos federais — Total,titulos_publicos_total,fator,19521.306,11280.602
1810,2009,2009-12-01,-15185319,-52311507.0,12,dezembro,Tesouro Nacional — Conta única,tesouro_conta_unica,fator,-15185.319,-52311.507
1811,2009,2009-12-01,6337003,62936723.0,12,dezembro,Operações com o setor externo,setor_externo,fator,6337.003,62936.723
1815,2009,2009-12-01,-2009398,-3425469.0,12,dezembro,Depósitos de instituições financeiras,depositos_instituicoes_financeiras,fator,-2009.398,-3425.469
1818,2009,2009-12-01,541211,3242878.0,12,dezembro,Autoridade Monetária — Outras operações,outras_operacoes,fator,541.211,3242.878
12484,2009,2009-12-01,-31,-1181.0,12,dezembro,Redesconto do Banco Central,redesconto,fator,-0.031,-1.181
12487,2009,2009-12-01,0,-3198916.0,12,dezembro,Derivativos — ajustes,derivativos_ajustes,fator,0.0,-3198.916
1788,2010,2010-12-01,206853322,40780487.0,12,dezembro,Base monetária restrita,base_monetaria_restrita,resultado,206853.322,40780.487
1809,2010,2010-12-01,111543835,249513458.0,12,dezembro,Títulos públicos federais — Total,titulos_publicos_total,fator,111543.835,249513.458
1810,2010,2010-12-01,-22880052,-51203673.0,12,dezembro,Tesouro Nacional — Conta única,tesouro_conta_unica,fator,-22880.052,-51203.673
1811,2010,2010-12-01,4276126,75552632.0,12,dezembro,Operações com o setor externo,setor_externo,fator,4276.126,75552.632
1815,2010,2010-12-01,-65142760,-236911071.0,12,dezembro,Depósitos de instituições financeiras,depositos_instituicoes_financeiras,fator,-65142.76,-236911.071
1818,2010,2010-12-01,704969,3829680.0,12,dezembro,Autoridade Monetária — Outras operações,outras_operacoes,fator,704.969,3829.68
12484,2010,2010-12-01,-134314,-539.0,12,dezembro,Redesconto do Banco Central,redesconto,fator,-134.314,-0.539
12487,2010,2010-12-01,0,0.0,12,dezembro,Derivativos — ajustes,derivativos_ajustes,fator,0.0,0.0
1788,2011,2011-12-01,214235311,7381989.0,12,dezembro,Base monetária restrita,base_monetaria_restrita,resultado,214235.311,7381.989
1809,2011,2011-12-01,44910037,70196203.0,12,dezembro,Títulos públicos federais — Total,titulos_publicos_total,fator,44910.037,70196.203
1810,2011,2011-12-01,-17945760,-125632863.0,12,dezembro,Tesouro Nacional — Conta única,tesouro_conta_unica,fator,-17945.76,-125632.863
1811,2011,2011-12-01,303625,85156228.0,12,dezembro,Operações com o setor externo,setor_externo,fator,303.625,85156.228
1815,2011,2011-12-01,4361607,-24388014.0,12,dezembro,Depósitos de instituições financeiras,depositos_instituicoes_financeiras,fator,4361.607,-24388.014
1818,2011,2011-12-01,-33262,2756678.0,12,dezembro,Autoridade Monetária — Outras operações,outras_operacoes,fator,-33.262,2756.678
12484,2011,2011-12-01,-1,-560.0,12,dezembro,Redesconto do Banco Central,redesconto,fator,-0.001,-0.56
12487,2011,2011-12-01,-31850,-705683.0,12,dezembro,Derivativos — ajustes,derivativos_ajustes,fator,-31.85,-705.683
1788,2012,2012-12-01,233371452,19136141.0,12,dezembro,Base monetária restrita,base_monetaria_restrita,resultado,233371.452,19136.141
1809,2012,2012-12-01,64648943,5653172.0,12,dezembro,Títulos públicos federais — Total,titulos_publicos_total,fator,64648.943,5653.172
1810,2012,2012-12-01,-39380522,-121648972.0,12,dezembro,Tesouro Nacional — Conta única,tesouro_conta_unica,fator,-39380.522,-121648.972
1811,2012,2012-12-01,-10975444,25896973.0,12,dezembro,Operações com o setor externo,setor_externo,fator,-10975.444,25896.973
1815,2012,2012-12-01,3161327,118682701.0,12,dezembro,Depósitos de instituições financeiras,depositos_instituicoes_financeiras,fator,3161.327,118682.701
1818,2012,2012-12-01,6957731,-8392875.0,12,dezembro,Autoridade Monetária — Outras operações,outras_operacoes,fator,6957.731,-8392.875
12484,2012,2012-12-01,-5424,45943.0,12,dezembro,Redesconto do Banco Central,redesconto,fator,-5.424,45.943
12487,2012,2012-12-01,-59770,-1100801.0,12,dezembro,Derivativos — ajustes,derivativos_ajustes,fator,-59.77,-1100.801
1788,2013,2013-12-01,249509778,16138326.0,12,dezembro,Base monetária restrita,base_monetaria_restrita,resultado,249509.778,16138.326
1809,2013,2013-12-01,88570252,197242065.0,12,dezembro,Títulos públicos federais — Total,titulos_publicos_total,fator,88570.252,197242.065
1810,2013,2013-12-01,-43098963,-127554789.0,12,dezembro,Tesouro Nacional — Conta única,tesouro_conta_unica,fator,-43098.963,-127554.789
1811,2013,2013-12-01,-6973532,-22428624.0,12,dezembro,Operações com o setor externo,setor_externo,fator,-6973.532,-22428.624
1815,2013,2013-12-01,-7111959,-19903346.0,12,dezembro,Depósitos de instituições financeiras,depositos_instituicoes_financeiras,fator,-7111.959,-19903.346
1818,2013,2013-12-01,2528586,-12532941.0,12,dezembro,Autoridade Monetária — Outras operações,outras_operacoes,fator,2528.586,-12532.941
12484,2013,2013-12-01,-2,-1675.0,12,dezembro,Redesconto do Banco Central,redesconto,fator,-0.002,-1.675
12487,2013,2013-12-01,48593,1314564.0,12,dezembro,Derivativos — ajustes,derivativos_ajustes,fator,48.593,1314.564
1788,2014,2014-12-01,263528517,14018739.0,12,dezembro,Base monetária restrita,base_monetaria_restrita,resultado,263528.517,14018.739
1809,2014,2014-12-01,43320612,-76307204.0,12,dezembro,Títulos públicos federais — Total,titulos_publicos_total,fator,43320.612,-76307.204
1810,2014,2014-12-01,-17938494,-668486.0,12,dezembro,Tesouro Nacional — Conta única,tesouro_conta_unica,fator,-17938.494,-668.486
1811,2014,2014-12-01,-27192559,16274839.0,12,dezembro,Operações com o setor externo,setor_externo,fator,-27192.559,16274.839
1815,2014,2014-12-01,6483102,56163369.0,12,dezembro,Depósitos de instituições financeiras,depositos_instituicoes_financeiras,fator,6483.102,56163.369
1818,2014,2014-12-01,185497,1227406.0,12,dezembro,Autoridade Monetária — Outras operações,outras_operacoes,fator,185.497,1227.406
12484,2014,2014-12-01,0,-45.0,12,dezembro,Redesconto do Banco Central,redesconto,fator,0.0,-0.045
12487,2014,2014-12-01,17044874,17329053.0,12,dezembro,Derivativos — ajustes,derivativos_ajustes,fator,17044.874,17329.053
1788,2015,2015-12-01,255288922,-8239595.0,12,dezembro,Base monetária restrita,base_monetaria_restrita,resultado,255288.922,-8239.595
1809,2015,2015-12-01,-18963647,-124016063.0,12,dezembro,Títulos públicos federais — Total,titulos_publicos_total,fator,-18963.647,-124016.063
1810,2015,2015-12-01,31966901,59665808.0,12,dezembro,Tesouro Nacional — Conta única,tesouro_conta_unica,fator,31966.901,59665.808
1811,2015,2015-12-01,-1077380,-15037710.0,12,dezembro,Operações com o setor externo,setor_externo,fator,-1077.38,-15037.71
1815,2015,2015-12-01,-7713625,-24740332.0,12,dezembro,Depósitos de instituições financeiras,depositos_instituicoes_financeiras,fator,-7713.625,-24740.332
1818,2015,2015-12-01,437373,6233098.0,12,dezembro,Autoridade Monetária — Outras operações,outras_operacoes,fator,437.373,6233.098
12484,2015,2015-12-01,-1959,-593.0,12,dezembro,Redesconto do Banco Central,redesconto,fator,-1.959,-0.593
12487,2015,2015-12-01,7794459,89657153.0,12,dezembro,Derivativos — ajustes,derivativos_ajustes,fator,7794.459,89657.153
29004,2015,2015-12-01,-41100110,-123479463.0,12,dezembro,Títulos públicos — mercado primário,titulos_mercado_primario,desdobramento,-41100.11,-123479.463
29006,2015,2015-12-01,22136463,-536600.0,12,dezembro,Títulos públicos — mercado secundário,titulos_mercado_secundario,desdobramento,22136.463,-536.6
1788,2016,2016-12-01,270287146,14998224.0,12,dezembro,Base monetária restrita,base_monetaria_restrita,resultado,270287.146,14998.224
1809,2016,2016-12-01,79414034,32267880.0,12,dezembro,Títulos públicos federais — Total,titulos_publicos_total,fator,79414.034,32267.88
1810,2016,2016-12-01,-52397634,12284191.0,12,dezembro,Tesouro Nacional — Conta única,tesouro_conta_unica,fator,-52397.634,12284.191
1811,2016,2016-12-01,352478,32532733.0,12,dezembro,Operações com o setor externo,setor_externo,fator,352.478,32532.733
1815,2016,2016-12-01,1612164,6054528.0,12,dezembro,Depósitos de instituições financeiras,depositos_instituicoes_financeiras,fator,1612.164,6054.528
1818,2016,2016-12-01,244327,7424617.0,12,dezembro,Autoridade Monetária — Outras operações,outras_operacoes,fator,244.327,7424.617
12484,2016,2016-12-01,-27,-3179.0,12,dezembro,Redesconto do Banco Central,redesconto,fator,-0.027,-3.179
12487,2016,2016-12-01,-3858120,-75562373.0,12,dezembro,Derivativos — ajustes,derivativos_ajustes,fator,-3858.12,-75562.373
29004,2016,2016-12-01,7559278,31896944.0,12,dezembro,Títulos públicos — mercado primário,titulos_mercado_primario,desdobramento,7559.278,31896.944
29006,2016,2016-12-01,71854756,370936.0,12,dezembro,Títulos públicos — mercado secundário,titulos_mercado_secundario,desdobramento,71854.756,370.936
1788,2017,2017-12-01,296755456,26468310.0,12,dezembro,Base monetária restrita,base_monetaria_restrita,resultado,296755.456,26468.31
1809,2017,2017-12-01,45249193,-26792966.0,12,dezembro,Títulos públicos federais — Total,titulos_publicos_total,fator,45249.193,-26792.966
1810,2017,2017-12-01,7163590,52132877.0,12,dezembro,Tesouro Nacional — Conta única,tesouro_conta_unica,fator,7163.59,52132.877
1811,2017,2017-12-01,-26027013,1396743.0,12,dezembro,Operações com o setor externo,setor_externo,fator,-26027.013,1396.743
1815,2017,2017-12-01,4770938,867627.0,12,dezembro,Depósitos de instituições financeiras,depositos_instituicoes_financeiras,fator,4770.938,867.627
1818,2017,2017-12-01,-55314,5896818.0,12,dezembro,Autoridade Monetária — Outras operações,outras_operacoes,fator,-55.314,5896.818
12484,2017,2017-12-01,-8920,-181.0,12,dezembro,Redesconto do Banco Central,redesconto,fator,-8.92,-0.181
12487,2017,2017-12-01,1443181,-7032535.0,12,dezembro,Derivativos — ajustes,derivativos_ajustes,fator,1443.181,-7032.535
29004,2017,2017-12-01,-30684804,-111168532.0,12,dezembro,Títulos públicos — mercado primário,titulos_mercado_primario,desdobramento,-30684.804,-111168.532
29006,2017,2017-12-01,75933997,84375566.0,12,dezembro,Títulos públicos — mercado secundário,titulos_mercado_secundario,desdobramento,75933.997,84375.566
1788,2018,2018-12-01,302049461,5294005.0,12,dezembro,Base monetária restrita,base_monetaria_restrita,resultado,302049.461,5294.005
1809,2018,2018-12-01,36530769,35093592.0,12,dezembro,Títulos públicos federais — Total,titulos_publicos_total,fator,36530.769,35093.592
1810,2018,2018-12-01,20453395,-44486130.0,12,dezembro,Tesouro Nacional — Conta única,tesouro_conta_unica,fator,20453.395,-44486.13
1811,2018,2018-12-01,-30488340,-17348770.0,12,dezembro,Operações com o setor externo,setor_externo,fator,-30488.34,-17348.77
1815,2018,2018-12-01,-6759022,13987567.0,12,dezembro,Depósitos de instituições financeiras,depositos_instituicoes_financeiras,fator,-6759.022,13987.567
1818,2018,2018-12-01,1520697,2909758.0,12,dezembro,Autoridade Monetária — Outras operações,outras_operacoes,fator,1520.697,2909.758
12484,2018,2018-12-01,13279,13200.0,12,dezembro,Redesconto do Banco Central,redesconto,fator,13.279,13.2
12487,2018,2018-12-01,1519905,15125016.0,12,dezembro,Derivativos — ajustes,derivativos_ajustes,fator,1519.905,15125.016
29004,2018,2018-12-01,-29615079,32704358.0,12,dezembro,Títulos públicos — mercado primário,titulos_mercado_primario,desdobramento,-29615.079,32704.358
29006,2018,2018-12-01,66145848,2389234.0,12,dezembro,Títulos públicos — mercado secundário,titulos_mercado_secundario,desdobramento,66145.848,2389.234
1788,2019,2019-12-01,316586707,14537246.0,12,dezembro,Base monetária restrita,base_monetaria_restrita,resultado,316586.707,14537.246
