mes,ano,selic_am,selic_cf_am,ipca_acum_ano_pct,selic_cf_acum_ano_pct,estoque_selic_act,estoque_selic_cf,juros_selic_act,juros_selic_cf,emissao_selic,residuo_selic,dbgg_act,dbgg_cf,delta_estoque_selic,delta_dbgg,dbgg_pib_cf,dbgg_pib_act
2009-10-01,2009,0.69000000,0.38203848,4.31202833,4.68202833,984749.80539312,530100.26535685,7143.60948706,2069.25239147,34776.67135884,0.00000001,1983867.71854776,1529218.17851149,454649.54003627,454649.54003627,31.92764132,41.42000000
2009-11-01,2009,0.66000000,0.38203848,4.31202833,4.68202833,964397.12613801,505584.64897057,6047.25126051,1884.31412934,-26399.93051558,-0.00000004,1980097.86342176,1521285.38625432,458812.47716744,458812.47716744,31.45370987,40.94000000
2009-12-01,2009,0.73000000,0.38203848,4.31202833,4.68202833,931465.69848925,467451.78325188,7168.07855957,1966.64048964,-40099.50620839,0.00000006,1973423.68412051,1509409.76888314,464013.91523737,464013.91523737,31.26782751,40.88000000
2010-01-01,2010,0.66000000,0.50877463,5.90906835,6.27906835,1027335.65107123,559767.12050464,5797.37598756,2242.76065834,90072.57659446,-0.00000004,2015576.95170473,1548008.42113814,467568.53056659,467568.53056659,30.40601022,39.59000000
2010-02-01,2010,0.59000000,0.50877463,5.90906835,6.27906835,998966.12165380,528431.61554965,5594.70221931,2628.72668175,-33964.23163677,0.00000003,2014967.23917132,1544432.73306717,470534.50610415,470534.50610415,30.52124632,39.82000000
2010-03-01,2010,0.76000000,0.50877463,5.90906835,6.27906835,905828.28974239,430526.02463341,7381.79780106,2614.03879623,-100519.62971245,-0.00000002,1947898.93438518,1472596.66927620,475302.26510898,475302.26510898,30.17165420,39.91000000
2010-04-01,2010,0.67000000,0.50877463,5.90906835,6.27906835,872216.03878561,392987.38383637,6143.76170011,2217.37185984,-39756.01265686,-0.00000003,1968164.59715510,1488935.94220586,479228.65494924,479228.65494924,29.85944454,39.47000000
2010-05-01,2010,0.75000000,0.50877463,5.90906835,6.27906835,869332.98007357,385976.69771621,5944.55770511,1816.93029699,-8827.61641712,-0.00000003,1991352.70085441,1507996.41849705,483356.28235736,483356.28235736,29.51090503,38.97000000
2010-06-01,2010,0.79000000,0.50877463,5.90906835,6.27906835,859864.65602122,371518.04296368,6988.66089168,1998.33019150,-16456.98494411,0.00000008,2010317.66013189,1521971.04707435,488346.61305754,488346.61305754,29.44283642,38.89000000
2010-07-01,2010,0.86000000,0.50877463,5.90906835,6.27906835,894058.10544840,401082.44446517,6218.57377611,1589.52585042,27974.87565110,-0.00000003,2027615.01900785,1534639.35802462,492975.66098323,492975.66098323,29.51033012,38.99000000
2010-08-01,2010,0.89000000,0.50877463,5.90906835,6.27906835,889277.46585216,390576.28081712,7700.25817780,1974.73412599,-12480.89777402,-0.00000002,2034861.82167483,1536160.63663979,498701.18503504,498701.18503504,29.26075159,38.76000000
2010-09-01,2010,0.85000000,0.50877463,5.90906835,6.27906835,883999.71370355,379608.49244012,7719.39199972,2029.35577133,-12997.14414833,0.00000000,2057909.39707811,1553518.17581468,504391.22126343,504391.22126343,28.85232205,38.22000000
2010-10-01,2010,0.81000000,0.50877463,5.90906835,6.27906835,911063.05715813,401070.84676981,7669.71825649,2068.72913161,19393.62519804,0.00000005,2087755.65364188,1577763.44325356,509992.21038832,509992.21038832,28.63431684,37.89000000
2010-11-01,2010,0.81000000,0.50877463,5.90906835,6.27906835,903465.40570566,388194.48570078,7296.18933657,2017.47972000,-14893.84078903,-0.00000001,2099149.01683170,1583878.09682682,515270.92000488,515270.92000488,28.49872745,37.77000000
2010-12-01,2010,0.93000000,0.50877463,5.90906835,6.27906835,787279.46627474,266334.78850755,7417.26693986,1743.50917755,-123603.20637082,0.00000004,2011521.66204921,1490576.98428202,520944.67776719,520944.67776719,28.14392454,37.98000000
2011-01-01,2011,0.86000000,0.55547078,6.50310904,6.87310904,909826.71036267,384640.63245405,5427.29144999,1185.89130855,117119.95263797,-0.00000003,2058854.32328407,1533668.24537545,525186.07790862,525186.07790862,27.98639774,37.57000000
2011-02-01,2011,0.84000000,0.55547078,6.50310904,6.87310904,904301.36807441,373481.05506768,7820.57091863,2186.33582052,-13345.91320684,-0.00000005,2083421.75046490,1552601.43745817,530820.31300673,530820.31300673,27.93818768,37.49000000
2011-03-01,2011,0.92000000,0.55547078,6.50310904,6.87310904,902031.09606930,364868.09663682,8449.71769843,2107.03127269,-10719.98970360,0.00000006,2112891.08633364,1575728.08690116,537162.99943248,537162.99943248,27.98870017,37.53000000
2011-04-01,2011,0.84000000,0.55547078,6.50310904,6.87310904,895230.13384041,352256.88237465,7931.90147121,2121.64943792,-14732.86370010,0.00000000,2135389.03119578,1592415.77973002,542973.25146576,542973.25146576,27.90507847,37.42000000
2011-05-01,2011,0.99000000,0.55547078,6.50310904,6.87310904,904297.35674857,355219.13670105,7834.67197941,1729.70339766,1232.55092883,-0.00000008,2146725.95788381,1597647.73783629,549078.22004752,549078.22004752,27.72239187,37.25000000
2011-06-01,2011,0.96000000,0.55547078,6.50310904,6.87310904,867771.27645885,312061.31203295,8582.41876512,1950.67438674,-45108.49905489,0.00000005,2177090.41137277,1621380.44694687,555709.96442590,555709.96442590,27.61519993,37.08000000
2011-07-01,2011,0.97000000,0.55547078,6.50310904,6.87310904,972320.93023843,410764.31956841,7362.90508993,1516.25884581,97186.74868969,-0.00000004,2204280.74100639,1642724.13033637,561556.61067002,561556.61067002,27.43983620,36.82000000
2011-08-01,2011,1.07000000,0.55547078,6.50310904,6.87310904,958051.55098475,389307.60858436,9206.39616846,2019.06443809,-23475.77542214,-0.00000000,2216647.63841009,1647903.69600970,568743.94240039,568743.94240039,27.17205885,36.55000000
2011-09-01,2011,0.94000000,0.55547078,6.50310904,6.87310904,923421.95025925,347813.91112666,9033.19196171,2169.09522951,-43662.79268729,0.00000008,2226487.18662189,1650879.14748930,575608.03913259,575608.03913259,25.70685355,34.67000000
2011-10-01,2011,0.88000000,0.55547078,6.50310904,6.87310904,931638.06893714,349411.71211314,8682.63744925,2064.31975785,-466.51877129,-0.00000007,2226255.49167493,1644029.13485093,582226.35682400,582226.35682400,26.32655545,35.65000000
2011-11-01,2011,0.86000000,0.55547078,6.50310904,6.87310904,921825.01569339,334171.26826180,7162.45136126,1735.06075367,-16975.50460506,0.00000005,2245928.12983178,1658274.38240019,587653.74743159,587653.74743159,25.66494304,34.76000000
2011-12-01,2011,0.91000000,0.55547078,6.50310904,6.87310904,869045.48143523,274939.10671508,8286.18763778,1833.56034922,-61065.72189589,-0.00000005,2243603.71512325,1649497.34040310,594106.37472015,594106.37472015,25.34234230,34.47000000
2012-01-01,2012,0.89000000,0.50321696,5.83856900,6.20856900,985924.02481136,384752.24411155,8604.58530587,1539.17932621,108273.95807023,0.00000003,2287084.43500277,1685912.65430296,601171.78069981,601171.78069981,25.80007192,35.00000000
2012-02-01,2012,0.75000000,0.50321696,5.83856900,6.20856900,929658.45972208,323342.67118754,6968.66517794,1824.65734321,-64604.55084569,1370.32057847,2322815.99843839,1716500.20990385,606315.78853454,606315.78853454,25.97492975,35.15000000
2012-03-01,2012,0.82000000,0.50321696,5.83856900,6.20856900,930340.14750673,318476.35873211,7053.52201808,1505.52177800,-6371.83423342,-0.00000001,2366667.45596964,1754803.66719502,611863.78877462,611863.78877462,25.40262828,34.26000000
2012-04-01,2012,0.71000000,0.50321696,5.83856900,6.20856900,973145.72042484,356058.63087171,6896.56840149,1673.26762298,35909.00451274,0.00000388,2405973.84435892,1788886.75480579,617087.08955313,617087.08955313,24.90787937,33.50000000
2012-05-01,2012,0.74000000,0.50321696,5.83856900,6.20856900,924837.14230739,303145.57113353,6129.58023748,1525.09861675,-54438.15835108,-0.00000385,2425795.72774399,1804104.15657013,621691.57117386,621691.57117386,24.37158765,32.77000000
2012-06-01,2012,0.64000000,0.50321696,5.83856900,6.20856900,866337.51173886,239914.11659700,6374.78266496,1642.95869695,-64874.41323350,0.00000001,2449693.35819873,1823269.96305687,626423.39514186,626423.39514186,24.39766152,32.78000000
2012-07-01,2012,0.68000000,0.50321696,5.83856900,6.20856900,989554.67560584,358010.93652874,6440.15346190,1319.80952666,116777.01040511,-0.00000003,2480227.82813349,1848684.08905639,631543.73907710,631543.73907710,24.23193509,32.51000000
2012-08-01,2012,0.69000000,0.50321696,5.83856900,6.20856900,1012121.24045866,375601.51883305,6759.49938074,1783.51683224,15807.06547212,-0.00000004,2491332.22375991,1854812.50213430,636519.72162561,636519.72162561,24.27090494,32.60000000
2012-09-01,2012,0.54000000,0.50321696,5.83856900,6.20856900,998719.81842010,358644.52927533,5435.19273045,1879.62521129,-18836.61476905,0.00000004,2542432.69279514,1902357.40365037,640075.28914477,640075.28914477,24.40768587,32.62000000
2012-10-01,2012,0.61000000,0.50321696,5.83856900,6.20856900,1020661.97005254,376468.03133718,5852.36255882,1733.71298823,16089.78907367,-0.00000005,2590520.15177164,1946326.21305628,644193.93871536,644193.93871536,24.37302883,32.44000000
2012-11-01,2012,0.55000000,0.50321696,5.83856900,6.20856900,1010464.61809839,362587.58560124,5559.15845327,1876.06467148,-15756.51040743,0.00000001,2615831.54896786,1967954.51647071,647877.03249715,647877.03249715,24.13457431,32.08000000
2012-12-01,2012,0.55000000,0.50321696,5.83856900,6.20856900,929446.57743525,278065.37012142,5216.95419565,1712.77937897,-87003.25092788,768.25606909,2583946.35443261,1932565.14711878,651381.20731383,651381.20731383,24.07529552,32.19000000
2013-01-01,2013,0.60000000,0.50891252,5.91081808,6.28081808,1054891.22817647,398624.72800573,6546.49866390,1661.20580700,118898.15207734,-0.00000002,2623366.10844450,1967099.60827376,656266.50017074,656266.50017074,24.12228861,32.17000000
2013-02-01,2013,0.49000000,0.50891252,5.91081808,6.28081808,1053290.59219844,393692.52485555,5483.76708502,2152.19991286,-7084.40306303,-0.00000002,2641965.87580785,1982367.80846496,659598.06734289,659598.06734289,24.45352057,32.59000000
2013-03-01,2013,0.55000000,0.50891252,5.91081808,6.28081808,1036093.05539354,372167.94624341,6614.76784275,2287.72603551,-23812.30464769,0.00000004,2663208.83369913,1999283.72454900,663925.10915013,663925.10915013,24.32283637,32.40000000
2013-04-01,2013,0.61000000,0.50891252,5.91081808,6.28081808,1063695.85193194,395012.27713305,6794.67341453,2036.20776577,20808.12312387,-0.00000000,2682330.01080925,2013646.43601036,668683.57479889,668683.57479889,24.12775318,32.14000000
2013-05-01,2013,0.60000000,0.50891252,5.91081808,6.28081808,1100109.36067678,426056.76423122,7837.77583872,2468.75419205,28575.73290616,-0.00000004,2710764.58249674,2036711.98605118,674052.59644556,674052.59644556,23.67479459,31.51000000
