reuniao,data,titulo,url_pdf,link,ident,n_caracteres,selic_antes,selic,delta_selic,decisao,voto,trecho,inflacao,cambio,fiscal,atividade,credito,externo,expectativas,guidance,credibilidade,pandemia,ano
154,2010-10-20,154ª Reunião,,/publicacoes/atascopom/20102010,20102010,62216,10.75,10.75,0.0,manutenção,unânime,"implementação da política monetária. 21. Como consequência da estabilização e da correção de desequilíbrios, as quais determinaram mudanças estruturais importantes, o processo de amadurecimento do regime de metas se encontra em estágio avançado, e isso se reflete favoravelmente na dinâmica da taxa de juros neutra e na potência da política monetária. Evidências a esse respeito são oferecidas, entre outros, pelo…",67,19,6,40,13,21,13,1,0,0,2010
155,2010-12-08,155ª Reunião,,/publicacoes/atascopom/08122010,8122010,61088,10.75,10.75,0.0,manutenção,unânime,"implementação da política monetária. 22. Como consequência da estabilização e da correção de desequilíbrios, as quais determinaram mudanças estruturais importantes, o processo de amadurecimento do regime de metas se encontra em estágio avançado, e isso se reflete favoravelmente na dinâmica da taxa de juros neutra e na potência da política monetária. Evidências a esse respeito são oferecidas, entre outros, pelo…",64,10,8,35,16,23,11,1,0,0,2010
156,2011-01-19,156ª Reunião,,/publicacoes/atascopom/19012011,19012011,56972,10.75,11.25,0.5,alta,unânime,Implementação da política monetária Inflação Atividade econômica Expectativas e sondagens Mercado de trabalho Crédito e inadimplência Ambiente externo Comércio exterior e reservas internacionais Mercado monetário e operações de mercado aberto Data: 18 e 19/1/2011 Local: Sala de reuniões do 8º andar (18/1) e do 20º andar (19/1) do Edifício-Sede do Banco Central do Brasil – Brasília – DF Horário de início: 16h15…,64,10,10,30,14,16,9,1,0,0,2011
157,2011-03-02,157ª Reunião,,/publicacoes/atascopom/02032011,2032011,59590,11.25,11.75,0.5,alta,unânime,Implementação da política monetária Inflação Atividade econômica Expectativas e sondagens Mercado de trabalho Crédito e inadimplência Ambiente externo Comércio exterior e reservas internacionais Mercado monetário e operações de mercado aberto Data: 1º e 2/3/2011 Local: Sala de reuniões do 8º andar (1º/3) e do 20º andar (2/3) do Edifício-Sede do Banco Central do Brasil – Brasília – DF Horário de início: 16h15 (1º/3)…,66,11,9,32,14,19,10,1,0,0,2011
158,2011-04-20,158ª Reunião,,/publicacoes/atascopom/20042011,20042011,65473,11.75,11.75,0.0,manutenção,—,Implementação da política monetária Inflação Atividade econômica Expectativas e sondagens Mercado de trabalho Crédito e inadimplência Ambiente externo Comércio exterior e reservas internacionais Mercado monetário e operações de mercado aberto Data: 19 e 20/4/2011 Local: Sala de reuniões do 8º andar (19/4) e do 20º andar (20/4) do Edifício-Sede do Banco Central do Brasil – Brasília – DF Horário de início: 16h45…,72,16,8,32,13,22,10,1,0,0,2011
159,2011-06-08,159ª Reunião,,/publicacoes/atascopom/08062011,8062011,63221,12.0,12.25,0.25,alta,unânime,Implementação da política monetária Inflação Atividade econômica Expectativas e sondagens Mercado de trabalho Crédito e inadimplência Ambiente externo Comércio exterior e reservas internacionais Mercado monetário e operações de mercado aberto Data: 7 e 8/6/2011 Local: Sala de reuniões do 8º andar (7/6) e do 20º andar (8/6) do Edifício-Sede do Banco Central do Brasil – Brasília – DF Horário de início: 16h15 (7/6) e…,67,14,10,41,13,23,11,1,0,0,2011
160,2011-07-20,160ª Reunião,,/publicacoes/atascopom/20072011,20072011,60435,12.25,12.5,0.25,alta,unânime,Implementação da política monetária Inflação Atividade econômica Expectativas e sondagens Mercado de trabalho Crédito e inadimplência Ambiente externo Comércio exterior e reservas internacionais Mercado monetário e operações de mercado aberto Data: 19 e 20/7/2011 Local: Sala de reuniões do 8º andar (19/7) e do 20º andar (20/7) do Edifício-Sede do Banco Central do Brasil – Brasília – DF Horário de início: 16h24…,72,16,9,33,14,18,11,1,0,0,2011
161,2011-08-31,161ª Reunião,,/publicacoes/atascopom/31082011,31082011,60676,12.5,12.0,-0.5,corte,—,Implementação da política monetária Inflação Atividade econômica Expectativas e sondagens Mercado de trabalho Crédito e inadimplência Ambiente externo Comércio exterior e reservas internacionais Mercado monetário e operações de mercado aberto Data: 30 e 31/8/2011 Local: Sala de reuniões do 8º andar (30/8) e do 20º andar (31/8) do Edifício-Sede do Banco Central do Brasil – Brasília – DF Horário de início: 16h15…,60,14,11,40,17,17,9,2,0,0,2011
162,2011-10-19,162ª Reunião,,/publicacoes/atascopom/19102011,19102011,64306,12.0,11.5,-0.5,corte,unânime,Implementação da política monetária Inflação Atividade econômica Expectativas e sondagens Mercado de trabalho Crédito e inadimplência Ambiente externo Comércio exterior e reservas internacionais Mercado monetário e operações de mercado aberto Data: 18 e 19/10/2011 Local: Sala de reuniões do 8º andar (18/10) e do 20º andar (19/10) do Edifício-Sede do Banco Central do Brasil – Brasília – DF Horário de início: 16h14…,59,18,9,43,17,21,10,1,0,0,2011
163,2011-11-30,163ª Reunião,,/publicacoes/atascopom/30112011,30112011,63912,11.5,11.0,-0.5,corte,unânime,Implementação da política monetária Inflação Atividade econômica Expectativas e sondagens Mercado de trabalho Crédito e inadimplência Ambiente externo Comércio exterior e reservas internacionais Mercado monetário e operações de mercado aberto Data: 29 e 30/11/2011 Local: Sala de reuniões do 8º andar (29/11) e do 20º andar (30/11) do Edifício-Sede do Banco Central do Brasil – Brasília – DF Horário de início: 16h23…,61,18,10,37,20,16,10,1,0,0,2011
