linha,item,jan/97–dez/02,jan/03–mai/16,jun/16–dez/18,jan/19–dez/22,jan/23–mai/26,jan/97–dez/02_R$bi,jan/03–mai/16_R$bi,jun/16–dez/18_R$bi,jan/19–dez/22_R$bi,jan/23–mai/26_R$bi
145,4.4.2 Despesas Discricionárias,0.0,1992486.75,528280.76,734140.93,718957.99,0.0,1992.49,528.28,734.14,718.96
146,4.4.2.1 Saúde,0.0,208789.13,101319.71,154601.66,189950.79,0.0,208.79,101.32,154.6,189.95
147,4.4.2.2 Educação,0.0,339339.93,103513.45,108925.61,127933.88,0.0,339.34,103.51,108.93,127.93
148,4.4.2.3 Defesa,0.0,207713.72,57336.08,75041.33,47534.6,0.0,207.71,57.34,75.04,47.53
149,4.4.2.4 Transporte,0.0,223187.41,44982.44,46766.5,55515.67,0.0,223.19,44.98,46.77,55.52
150,4.4.2.5 Administração,0.0,91239.98,27086.88,35271.46,29426.67,0.0,91.24,27.09,35.27,29.43
151,4.4.2.6 Ciência e Tecnologia,0.0,86028.43,19197.18,19993.96,31838.15,0.0,86.03,19.2,19.99,31.84
152,4.4.2.7 Segurança Pública,0.0,40070.68,13228.74,17587.17,13397.63,0.0,40.07,13.23,17.59,13.4
153,4.4.2.8 Assistência Social,0.0,61150.24,15335.45,19501.21,34479.16,0.0,61.15,15.34,19.5,34.48
154,4.4.2.9 Demais,0.0,734967.24,146280.83,256452.04,188881.44,0.0,734.97,146.28,256.45,188.88
155,5. RESULTADO PRIMÁRIO GOVERNO CENTRAL - ACIMA DA LINHA (3 - 4),476922.49,1516885.89,-593212.52,-1187751.33,-411147.66,476.92,1516.89,-593.21,-1187.75,-411.15
156,6. AJUSTES METODOLÓGICOS,0.0,60623.13,21712.6,22168.07,-35902.68,0.0,60.62,21.71,22.17,-35.9
157,6.1 Ajuste Metodológico Itaipu 9/,0.0,56666.77,17271.47,9209.85,0.0,0.0,56.67,17.27,9.21,0.0
158,6.2 Ajuste Metodológico Caixa - Competência 10/,0.0,3956.36,4441.13,3781.33,2381.02,0.0,3.96,4.44,3.78,2.38
